"Time_Iter","Outer_Iter","Inner_Iter",   "rms[A_Rho]"   ,   "rms[A_RhoU]"  ,   "rms[A_RhoV]"  ,    "rms[A_E]"    ,    "rms[A_nu]"   
          0,           0,           0,      -4.531216263,      -6.055955925,      -5.639565832,      -8.499762421,      -3.970158912
          0,           0,           1,       -4.32092091,      -6.076970108,      -5.667729752,       -8.61616651,      -3.769495483
          0,           0,           2,      -4.190794522,      -6.143508726,       -5.77150097,      -8.696329997,      -3.692836754
          0,           0,           3,      -4.096499496,      -6.183095492,      -5.862963343,      -8.777611313,      -3.650830377
          0,           0,           4,      -4.013342441,      -6.177633227,      -5.918065193,      -8.841823086,      -3.623570165
          0,           0,           5,      -3.933225545,      -6.143294198,      -5.947841109,      -8.881011181,      -3.609846725
          0,           0,           6,      -3.857341456,      -6.098813572,      -5.962822334,      -8.904025182,      -3.606151083
          0,           0,           7,      -3.788068298,      -6.054199525,      -5.969598539,      -8.917222922,      -3.607776216
          0,           0,           8,      -3.725848707,      -6.012270823,      -5.971428804,       -8.92347743,      -3.611320662
          0,           0,           9,      -3.669823623,      -5.972737437,      -5.969824757,       -8.92461287,      -3.614686525
          0,           0,          10,      -3.619100995,      -5.934889024,      -5.966296213,       -8.92200434,      -3.616941583
          0,           0,          11,      -3.573359591,      -5.898721006,      -5.962879133,      -8.916615701,      -3.618131888
          0,           0,          12,       -3.53277142,      -5.864969086,      -5.961697808,      -8.908938564,      -3.618768443
          0,           0,          13,      -3.497653289,      -5.834628935,      -5.964300117,      -8.899122155,      -3.619369164
          0,           0,          14,      -3.468186539,      -5.808489926,      -5.971252869,      -8.887315409,      -3.620282762
          0,           0,          15,      -3.444307003,       -5.78691683,      -5.982045944,      -8.873983345,      -3.621697921
          0,           0,          16,      -3.425711746,      -5.769844176,      -5.995168249,       -8.85997984,      -3.623702526
          0,           0,          17,      -3.411900352,      -5.756863742,      -6.008306467,      -8.846363662,      -3.626332168
          0,           0,          18,      -3.402201702,      -5.747319146,       -6.01877163,       -8.83411567,      -3.629596819
          0,           0,          19,      -3.395778045,      -5.740377364,      -6.024257019,      -8.823921181,      -3.633491946
          0,           0,          20,      -3.391627231,      -5.735086263,      -6.023732009,      -8.816081506,      -3.638002459
          0,           0,          21,      -3.388618104,      -5.730444157,      -6.017916246,      -8.810534038,      -3.643104555
          0,           0,          22,       -3.38558992,      -5.725502609,      -6.008937322,      -8.806935753,      -3.648767163
          0,           0,          23,       -3.38151878,       -5.71949865,      -5.999437579,      -8.804776105,      -3.654953114
          0,           0,          24,      -3.375706943,      -5.711979084,      -5.991742435,      -8.803498655,      -3.661620034
          0,           0,          25,       -3.36791355,      -5.702862472,      -5.987427117,      -8.802612825,      -3.668721215
          0,           0,          26,      -3.358357347,       -5.69240448,      -5.987236722,      -8.801773069,      -3.676206664
          0,           0,          27,      -3.347587614,       -5.68107977,      -5.991186097,      -8.800805499,      -3.684024211
          0,           0,          28,      -3.336287745,      -5.669431851,      -5.998715738,      -8.799678357,      -3.692120163
