"VARIABLE"      , "GRADIENT"      , "FINDIFF_STEP"  
0               , 0.0969925       , 0.001           
1               , 0.119748        , 0.001           
2               , 0.135107        , 0.001           
3               , 0.146431        , 0.001           
4               , 0.154702        , 0.001           
5               , 0.160119        , 0.001           
6               , 0.162531        , 0.001           
7               , 0.161653        , 0.001           
8               , 0.157252        , 0.001           
9               , 0.149332        , 0.001           
10              , 0.138336        , 0.001           
11              , 0.12528         , 0.001           
12              , 0.111744        , 0.001           
13              , 0.099592        , 0.001           
14              , 0.0904296       , 0.001           
15              , 0.0850961       , 0.001           
16              , 0.0839087       , 0.001           
17              , 0.0886029       , 0.001           
18              , 0.115379        , 0.001           
19              , -0.425928       , 0.001           
20              , -0.144478       , 0.001           
21              , 0.325785        , 0.001           
22              , 0.845512        , 0.001           
23              , 1.30296         , 0.001           
24              , 1.61405         , 0.001           
25              , 1.73029         , 0.001           
26              , 1.64261         , 0.001           
27              , 1.37775         , 0.001           
28              , 0.987701        , 0.001           
29              , 0.53593         , 0.001           
30              , 0.0862204       , 0.001           
31              , -0.30035        , 0.001           
32              , -0.561122       , 0.001           
33              , -0.635273       , 0.001           
34              , -0.504735       , 0.001           
35              , -0.26939        , 0.001           
36              , -0.109967       , 0.001           
37              , -0.0501715      , 0.001           
