"PointID","x","y","Adjoint_Density","Adjoint_Momentum_x","Adjoint_Momentum_y","Adjoint_Energy","Adjoint_Nu_Tilde","Sensitivity_x","Sensitivity_y","Surface_Sensitivity"
25, 9.853970408439640e-01, 9.428599150851370e-04, -1.357673563197227e-02, 3.640503176080874e-06, 1.731574893429298e-06, 7.103823870054166e-09, -9.535952834932437e-05, -1.228463176674187e-01, -2.604388861702789e+00, -2.607265585983263e+00
51, 9.695732593536380e-01, 1.489007263444360e-03, -1.445741941756027e-02, 3.324013873414941e-06, -9.941600222565447e-07, 1.299522280383727e-08, -6.999129748213459e-05, -4.786004243844574e-02, -1.976447987687624e+00, -1.977024495230266e+00
77, 9.526804089546200e-01, 1.679251203313470e-03, -1.510928362841198e-02, 3.576873678598474e-06, -9.325476177489695e-06, 3.582693642807281e-09, -6.226932743428296e-05, -3.478080700468218e-03, -1.684587210852738e+00, -1.684589105037548e+00
103, 9.349957108497620e-01, 1.511327689513560e-03, -1.586902989892613e-02, 4.087233920324273e-06, -1.795163016952251e-05, -4.833221423566451e-09, -5.836292624017962e-05, 2.830473063401144e-02, -1.552581339621636e+00, -1.552832954110279e+00
129, 9.168222546577450e-01, 9.227616828866300e-04, -1.667741350207468e-02, 4.825913800785909e-06, -2.603271969660913e-05, -1.129626022882281e-08, -5.543605004105531e-05, 5.618758674238428e-02, -1.477033888393688e+00, -1.478095724654842e+00
155, 8.983380794525150e-01, 8.054462341533510e-06, -1.745620572966068e-02, 5.672355008761297e-06, -3.278768352736132e-05, -1.585615245770013e-08, -5.321761120517781e-05, 7.774645666754212e-02, -1.429287793000303e+00, -1.431393990939541e+00
181, 8.797067403793331e-01, -1.210561604239050e-03, -1.813583249154388e-02, 6.598605865762067e-06, -3.865185528917111e-05, -1.951306672181544e-08, -5.135281691500380e-05, 9.744478183186103e-02, -1.411410517700958e+00, -1.414763401483357e+00
207, 8.610174655914310e-01, -2.686113817617300e-03, -1.870478687153436e-02, 7.450720514038528e-06, -4.332409003286218e-05, -2.172927287246829e-08, -4.960986053749459e-05, 1.133022758202328e-01, -1.402813454795371e+00, -1.407374492337705e+00
233, 8.422674536705020e-01, -4.354327917099000e-03, -1.919447726563398e-02, 8.421428892219270e-06, -4.930555304943775e-05, -2.798805321071972e-08, -4.781292692941552e-05, 1.267359396216857e-01, -1.396892839321507e+00, -1.402621357094626e+00
259, 8.235722184181210e-01, -6.217850837856530e-03, -1.962733014439971e-02, 9.164266037285249e-06, -5.138368145711108e-05, -2.101881879171121e-08, -4.728277448591254e-05, 1.418669348087104e-01, -1.405902855056950e+00, -1.413035166784364e+00
285, 8.049457669258120e-01, -8.241767995059490e-03, -1.999115913311318e-02, 1.002017369584266e-05, -5.558668554176145e-05, -3.093857776014690e-08, -4.637319746491312e-05, 1.531018130875035e-01, -1.421842937985583e+00, -1.430052346642333e+00
311, 7.863141298294070e-01, -1.036873925477270e-02, -2.002107563385640e-02, 1.040587114727743e-05, -5.616562193262356e-05, -2.553967982536135e-08, -4.401040846977377e-05, 1.639057890144819e-01, -1.428723414809490e+00, -1.438083293891997e+00
