"PointID","x","y","Sensitivity_x","Sensitivity_y","Surface_Sensitivity"
25, 9.853970408439640e-01, 9.428599150851370e-04, -5.434995554083043e-03, -1.126546881893160e-01, 1.127843716680845e-01
51, 9.695732593536380e-01, 1.489007263444360e-03, -3.353202048126033e-04, -7.592545810303934e-02, 7.591377835899096e-02
77, 9.526804089546200e-01, 1.679251203313470e-03, -1.094461310474094e-03, -1.908140014106022e-02, 1.908210265972128e-02
103, 9.349957108497620e-01, 1.511327689513560e-03, 6.292830012825766e-04, -1.518198216736366e-02, 1.519187761481237e-02
129, 9.168222546577450e-01, 9.227616828866300e-04, 6.842566632673323e-04, -1.514497167116689e-02, 1.516028985571903e-02
155, 8.983380794525150e-01, 8.054462341533510e-06, 6.944929181798283e-04, -1.133434318215686e-02, 1.135551898022229e-02
181, 8.797067403793331e-01, -1.210561604239050e-03, 4.174430758193483e-04, -1.042082228423831e-02, 1.042383149871281e-02
207, 8.610174655914310e-01, -2.686113817617300e-03, 6.547177453844373e-04, -6.038281095841786e-03, 6.071888978888110e-03
233, 8.422674536705020e-01, -4.354327917099000e-03, 1.825060620301050e-03, -1.503579929480682e-02, 1.514073907938621e-02
259, 8.235722184181210e-01, -6.217850837856530e-03, -7.111371415707969e-04, -5.834722390372608e-04, 5.066588905174057e-04
285, 8.049457669258120e-01, -8.241767995059490e-03, 3.574323635333397e-04, 4.860385331874544e-04, -4.434736266995401e-04
311, 7.863141298294070e-01, -1.036873925477270e-02, 1.984346457019165e-03, -1.521933493789120e-02, 1.534713996518535e-02
337, 7.678796052932740e-01, -1.264218706637620e-02, 8.624876499976767e-05, -2.707866697571096e-03, 2.697367001285408e-03
363, 7.495508193969730e-01, -1.500672101974490e-02, 5.967746412181734e-04, -4.787222950022920e-03, 4.824163916964185e-03
389, 7.313483357429500e-01, -1.744982041418550e-02, 6.298136609191325e-04, -4.192859528189743e-03, 4.239472556975599e-03
415, 7.132214307785030e-01, -1.993851736187930e-02, 1.401268402083968e-03, -8.532971799262924e-03, 8.644585204326252e-03
441, 6.951977014541630e-01, -2.246599644422530e-02, -2.332355055753906e-04, -1.820926574209747e-03, 1.770213592899964e-03
467, 6.773055195808410e-01, -2.502630092203620e-02, -1.524211556339565e-05, -1.277137919967936e-04, 1.242590709683472e-04
493, 6.594728827476500e-01, -2.758665196597580e-02, 2.422962615091455e-03, -1.305750736317232e-02, 1.326990072830673e-02
519, 6.418011188507080e-01, -3.016339242458340e-02, 2.677093256570577e-04, -3.900940331988143e-03, 3.898450942582824e-03
545, 6.243042349815370e-01, -3.275020420551300e-02, -1.216257985837526e-03, 6.372688421895867e-03, -6.480744896385234e-03
571, 6.065399646759030e-01, -3.521266952157020e-02, 1.374184184759334e-03, -7.781678700794132e-03, 7.896314281725859e-03
597, 5.888153314590450e-01, -3.762762248516080e-02, 1.430196997849700e-03, -1.076434710693172e-02, 1.085885154537430e-02
623, 5.713157057762150e-01, -4.003950580954550e-02, 1.092716431210941e-04, -1.955785986440628e-03, 1.952723880692189e-03
649, 5.538190603256230e-01, -4.237503558397290e-02, 5.803652440031543e-04, -4.090132013043735e-03, 4.130871660647434e-03
675, 5.363336801528930e-01, -4.462694749236110e-02, 7.260070593813771e-04, -5.054131673993469e-03, 5.105200604133672e-03
701, 5.188096761703490e-01, -4.676951467990880e-02, 7.191783794104779e-04, -6.656336172184720e-03, 6.694721886552567e-03
727, 5.012295246124270e-01, -4.878489673137660e-02, 3.894968247335213e-04, -3.617278096721596e-03, 3.638175615775481e-03
753, 4.835794866085050e-01, -5.065427348017690e-02, 1.432944318836495e-03, -1.216537903197938e-02, 1.224783376225587e-02
779, 4.658685922622680e-01, -5.236319825053220e-02, 7.555840960545565e-04, -7.929584535770579e-03, 7.965424859553866e-03
805, 4.480717480182650e-01, -5.388031527400020e-02, -2.405922706336815e-04, 1.635941742434096e-03, -1.649778890860451e-03
