"Time_Iter","Outer_Iter","Inner_Iter",    "rms[Rho]"    ,    "rms[RhoU]"   ,    "rms[RhoV]"   ,    "rms[RhoE]"   ,     "rms[nu]"    ,    "RefForce"    ,       "CD"       ,       "CL"       ,       "CSF"      ,       "CMx"      ,       "CMy"      ,       "CMz"      ,       "CFx"      ,       "CFy"      ,       "CFz"      ,      "CEff"      ,     "Buffet"     
          0,           0,           0,      -1.695861162,      -10.80701985,      -11.12088671,       3.813509475,      -4.947618114,       15761.82561,      0.1778737067,    -0.01690064175,                 0,                 0,                 0,     0.02991552913,      0.1778737067,    -0.01690064175,                 0,     -0.0950148398,   0.0006145570265
          0,           0,           1,      -2.090984024,      0.6415581648,      0.6208795767,       3.417045633,       -5.43158853,       15761.82561,      0.2208685788,    -0.01414317383,                 0,                 0,                 0,     0.03521166976,      0.2208685788,    -0.01414317383,                 0,    -0.06403434074,   0.0006145570265
          0,           0,           2,      -2.146265661,      0.5906901402,       0.360661768,       3.377723107,      -5.588029772,       15761.82561,      0.2342963948,    -0.01099270188,                 0,                 0,                 0,     0.03219045292,      0.2342963948,    -0.01099270188,                 0,    -0.04691793013,   0.0006145570265
          0,           0,           3,      -2.218060982,      0.4846451777,      0.2072598519,       3.308858878,      -5.675134824,       15761.82561,      0.2376361633,   -0.009793473424,                 0,                 0,                 0,     0.02853340334,      0.2376361633,   -0.009793473424,                 0,    -0.04121204992,   0.0006145570265
          0,           0,           4,       -2.29143544,      0.3822822637,      0.2316930122,       3.229983965,      -5.784478882,       15761.82561,      0.2340257335,   -0.009749417567,                 0,                 0,                 0,      0.0262743159,      0.2340257335,   -0.009749417567,                 0,    -0.04165959624,   0.0006145570265
          0,           0,           5,      -2.301017986,      0.3271022701,      0.2455724895,       3.211337995,      -5.817043155,       15761.82561,      0.2248218089,    -0.01002600167,                 0,                 0,                 0,     0.02532234519,      0.2248218089,    -0.01002600167,                 0,    -0.04459532514,   0.0006145570265
          0,           0,           6,      -2.284046177,      0.3039282983,      0.2538034781,       3.222248331,      -5.831260946,       15761.82561,      0.2151765641,    -0.01033041654,                 0,                 0,                 0,     0.02506119566,      0.2151765641,    -0.01033041654,                 0,    -0.04800902267,   0.0006145570265
          0,           0,           7,      -2.266697509,      0.2942402131,      0.2632160043,       3.235403661,      -5.834457144,       15761.82561,      0.2064975941,    -0.01063625137,                 0,                 0,                 0,     0.02510256447,      0.2064975941,    -0.01063625137,                 0,    -0.05150787068,   0.0006145570265
          0,           0,           8,      -2.253264416,      0.2867443022,      0.2720494703,       3.245394393,      -5.834712314,       15761.82561,      0.1985338608,    -0.01089839926,                 0,                 0,                 0,     0.02532177999,      0.1985338608,    -0.01089839926,                 0,    -0.05489441053,   0.0006145570265
          0,           0,           9,      -2.243042105,      0.2780112187,      0.2790275764,       3.252353042,      -5.833239183,       15761.82561,      0.1907098632,    -0.01098281534,                 0,                 0,                 0,     0.02577501392,      0.1907098632,    -0.01098281534,                 0,    -0.05758913125,   0.0006145570265
          0,           0,          10,      -2.234596293,      0.2702568552,       0.284123023,       3.257293751,      -5.830597971,       15761.82561,      0.1827070742,    -0.01076862829,                 0,                 0,                 0,     0.02655411737,      0.1827070742,    -0.01076862829,                 0,    -0.05893930674,   0.0006145570265
          0,           0,          11,        -2.2267369,      0.2656415915,      0.2876324764,       3.261229069,      -5.826532175,       15761.82561,      0.1745052918,    -0.01018452592,                 0,                 0,                 0,     0.02771259787,      0.1745052918,    -0.01018452592,                 0,    -0.05836227554,   0.0006145570265
          0,           0,          12,      -2.218864217,      0.2640369874,      0.2896122302,       3.264655063,       -5.81964215,       15761.82561,      0.1662585169,   -0.009193892098,                 0,                 0,                 0,     0.02926092399,      0.1662585169,   -0.009193892098,                 0,    -0.05529877368,   0.0006145570265
          0,           0,          13,      -2.210715988,      0.2641284987,       0.289834002,       3.267767743,      -5.810513737,       15761.82561,      0.1581703137,    -0.00778747951,                 0,                 0,                 0,     0.03117930744,      0.1581703137,    -0.00778747951,                 0,    -0.04923477314,   0.0006145570265
          0,           0,          14,       -2.20210268,      0.2643579786,      0.2879282906,       3.270809716,      -5.799232753,       15761.82561,      0.1504254581,   -0.005991806474,                 0,                 0,                 0,     0.03342589231,      0.1504254581,   -0.005991806474,                 0,    -0.03983239639,   0.0006145570265
          0,           0,          15,      -2.192825809,      0.2636452602,      0.2835743978,       3.274211309,      -5.785736626,       15761.82561,      0.1431723676,   -0.003856096146,                 0,                 0,                 0,     0.03594590645,      0.1431723676,   -0.003856096146,                 0,    -0.02693324284,   0.0006145570265
          0,           0,          16,      -2.182716804,       0.261554176,      0.2766599877,       3.278534939,      -5.770275422,       15761.82561,      0.1365235263,   -0.001451361339,                 0,                 0,                 0,     0.03867068223,      0.1365235263,   -0.001451361339,                 0,    -0.01063085153,   0.0006145570265
          0,           0,          17,      -2.171742518,      0.2582271764,       0.267402093,       3.284284764,      -5.753148855,       15761.82561,      0.1305585132,    0.001142384258,                 0,                 0,                 0,     0.04152648073,      0.1305585132,    0.001142384258,                 0,    0.008749979075,   0.0006145570265
          0,           0,          18,      -2.160005788,      0.2542869413,      0.2564438633,       3.291784412,      -5.735100741,       15761.82561,      0.1253251938,    0.003841042738,                 0,                 0,                 0,     0.04443782422,      0.1253251938,    0.003841042738,                 0,     0.03064860802,   0.0006145570265
