"PointID","x","y","Density","Momentum_x","Momentum_y","Energy","Nu_Tilde","Pressure","Temperature","Mach","Pressure_Coefficient","Velocity_x","Velocity_y","Laminar_Viscosity","Skin_Friction_Coefficient_x","Skin_Friction_Coefficient_y","Heat_Flux","Y_Plus","Eddy_Viscosity"
25, 9.853970408439640e-01, 9.428599150851370e-04, 4.612811597708328e-01, 0.000000000000000e+00, 0.000000000000000e+00, 1.057728716707254e+05, 0.000000000000000e+00, 4.230914866829017e+04, 3.195206382328429e+02, 0.000000000000000e+00, 2.239573291674301e-01, 0.000000000000000e+00, 0.000000000000000e+00, 1.936856930886269e-05, 2.581475929461665e-03, -1.119076651237956e-04, -4.154386486534862e+02, 2.508213048395316e+00, 0.000000000000000e+00
51, 9.695732593536380e-01, 1.489007263444360e-03, 4.671888123095855e-01, 0.000000000000000e+00, 0.000000000000000e+00, 1.071498755751068e+05, 0.000000000000000e+00, 4.285995023004271e+04, 3.195873447261798e+02, 0.000000000000000e+00, 2.589026188519798e-01, 0.000000000000000e+00, 0.000000000000000e+00, 1.937162930284836e-05, 1.989645271322633e-03, -4.478326037417985e-05, -1.655995099191546e+02, 2.215034097236185e+00, 0.000000000000000e+00
77, 9.526804089546200e-01, 1.679251203313470e-03, 4.711452494468429e-01, 0.000000000000000e+00, 0.000000000000000e+00, 1.080870146479180e+05, 0.000000000000000e+00, 4.323480585916717e+04, 3.196752709755998e+02, 0.000000000000000e+00, 2.826851195913723e-01, 0.000000000000000e+00, 0.000000000000000e+00, 1.937566221683024e-05, 1.704063975992550e-03, -1.100003778147111e-06, -9.222165695875896e+01, 2.057955044334925e+00, 0.000000000000000e+00
103, 9.349957108497620e-01, 1.511327689513560e-03, 4.726703358181508e-01, 0.000000000000000e+00, 0.000000000000000e+00, 1.084556226195266e+05, 0.000000000000000e+00, 4.338224904781066e+04, 3.197304957937372e+02, 0.000000000000000e+00, 2.920395682657119e-01, 0.000000000000000e+00, 0.000000000000000e+00, 1.937819493301842e-05, 1.552070530864170e-03, 3.274360085132410e-05, -6.519140748948367e+01, 1.967145308993920e+00, 0.000000000000000e+00
129, 9.168222546577450e-01, 9.227616828866300e-04, 4.728700902510077e-01, 0.000000000000000e+00, 0.000000000000000e+00, 1.085101217273881e+05, 0.000000000000000e+00, 4.340404869095523e+04, 3.197560292627952e+02, 0.000000000000000e+00, 2.934226341420744e-01, 0.000000000000000e+00, 0.000000000000000e+00, 1.937936587365697e-05, 1.466755614383005e-03, 6.014939759778991e-05, -5.425274495156123e+01, 1.913232259853237e+00, 0.000000000000000e+00
155, 8.983380794525150e-01, 8.054462341533510e-06, 4.722858437685520e-01, 0.000000000000000e+00, 0.000000000000000e+00, 1.083776362617465e+05, 0.000000000000000e+00, 4.335105450469859e+04, 3.197606978570383e+02, 0.000000000000000e+00, 2.900604483406340e-01, 0.000000000000000e+00, 0.000000000000000e+00, 1.937957996594462e-05, 1.419394757957938e-03, 8.158388613618187e-05, -4.988001930739686e+01, 1.881529009160204e+00, 0.000000000000000e+00
181, 8.797067403793331e-01, -1.210561604239050e-03, 4.708842821770551e-01, 0.000000000000000e+00, 0.000000000000000e+00, 1.080516670992551e+05, 0.000000000000000e+00, 4.322066683970203e+04, 3.197478362782649e+02, 0.000000000000000e+00, 2.817880775977132e-01, 0.000000000000000e+00, 0.000000000000000e+00, 1.937899015621639e-05, 1.400277609484546e-03, 1.010857841902676e-04, -4.861577261154748e+01, 1.866301846707412e+00, 0.000000000000000e+00
207, 8.610174655914310e-01, -2.686113817617300e-03, 4.692180170032688e-01, 0.000000000000000e+00, 0.000000000000000e+00, 1.076620046929399e+05, 0.000000000000000e+00, 4.306480187717597e+04, 3.197261212569326e+02, 0.000000000000000e+00, 2.718993143018829e-01, 0.000000000000000e+00, 0.000000000000000e+00, 1.937799431626670e-05, 1.396381811300086e-03, 1.172537856395669e-04, -4.926720118705826e+01, 1.860915533336615e+00, 0.000000000000000e+00
233, 8.422674536705020e-01, -4.354327917099000e-03, 4.672510281793378e-01, 0.000000000000000e+00, 0.000000000000000e+00, 1.072007941687394e+05, 0.000000000000000e+00, 4.288031766749576e+04, 3.196966413023805e+02, 0.000000000000000e+00, 2.601948192583553e-01, 0.000000000000000e+00, 0.000000000000000e+00, 1.937664232675727e-05, 1.401438566257914e-03, 1.321799918461201e-04, -5.049009728096280e+01, 1.861072234038436e+00, 0.000000000000000e+00
259, 8.235722184181210e-01, -6.217850837856530e-03, 4.647367130583710e-01, 0.000000000000000e+00, 0.000000000000000e+00, 1.066108094946358e+05, 0.000000000000000e+00, 4.264432379785433e+04, 3.196572769689004e+02, 0.000000000000000e+00, 2.452223233341286e-01, 0.000000000000000e+00, 0.000000000000000e+00, 1.937483693031188e-05, 1.418609940484931e-03, 1.477629126293146e-04, -5.262025404292131e+01, 1.868289210500848e+00, 0.000000000000000e+00
