"PointID","x","y"
25, 9.853970408439640e-01, 2.175751213154330e-03
51, 9.695732593536380e-01, 7.441185878595478e-03
77, 9.526804089546200e-01, 1.233006198823027e-02
103, 9.349957108497620e-01, 1.486725287645334e-02
129, 9.168222546577450e-01, 1.607237405285520e-02
155, 8.983380794525150e-01, 1.706631696955744e-02
181, 8.797067403793331e-01, 1.805795663454061e-02
207, 8.610174655914310e-01, 1.897447128820562e-02
233, 8.422674536705020e-01, 1.978486062820160e-02
259, 8.235722184181210e-01, 2.043415100376445e-02
285, 8.049457669258120e-01, 2.094545356303584e-02
311, 7.863141298294070e-01, 2.138000609608262e-02
337, 7.678796052932740e-01, 2.165593235970002e-02
363, 7.495508193969730e-01, 2.182639399322026e-02
389, 7.313483357429500e-01, 2.188424809397179e-02
415, 7.132214307785030e-01, 2.185213038778600e-02
441, 6.951977014541630e-01, 2.171632144656055e-02
467, 6.773055195808410e-01, 2.146360188464442e-02
493, 6.594728827476500e-01, 2.112178476791301e-02
519, 6.418011188507080e-01, 2.064943791032434e-02
545, 6.243042349815370e-01, 2.004132204959135e-02
571, 6.065399646759030e-01, 1.946938700214514e-02
597, 5.888153314590450e-01, 1.881127271082541e-02
623, 5.713157057762150e-01, 1.799779518422934e-02
649, 5.538190603256230e-01, 1.711709143377994e-02
675, 5.363336801528930e-01, 1.616888879328746e-02
701, 5.188096761703490e-01, 1.517619402029485e-02
727, 5.012295246124270e-01, 1.415149698387295e-02
753, 4.835794866085050e-01, 1.310820048818838e-02
779, 4.658685922622680e-01, 1.205474901466218e-02
805, 4.480717480182650e-01, 1.101822500413672e-02
831, 4.301885962486270e-01, 1.002680325082222e-02
857, 4.122794568538670e-01, 9.085730332122503e-03
883, 3.944020271301270e-01, 8.212208286190535e-03
909, 3.766198158264160e-01, 7.446864784281894e-03
935, 3.590588271617890e-01, 6.767846504346281e-03
961, 3.418258726596830e-01, 6.185858492400068e-03
987, 3.249974250793460e-01, 5.645708239587655e-03
1013, 3.086399734020230e-01, 5.161875953289020e-03
1039, 2.927811741828920e-01, 4.706819276441322e-03
1065, 2.774220108985900e-01, 4.256279807625045e-03
1091, 2.625653147697450e-01, 3.801709370990516e-03
1117, 2.482267022132870e-01, 3.353451480746637e-03
1143, 2.344165146350860e-01, 2.918408552500876e-03
1169, 2.210974693298340e-01, 2.473478104021529e-03
1195, 2.082438766956330e-01, 2.008372558584430e-03
1221, 1.958884000778200e-01, 1.550419854486208e-03
1247, 1.840233504772190e-01, 1.100465501071957e-03
1273, 1.725961565971370e-01, 6.367376837443095e-04
1299, 1.616173982620240e-01, 1.720849526341689e-04
1325, 1.511152982711790e-01, -2.718563944366231e-04
1351, 1.410477757453920e-01, -7.098937507941591e-04
1377, 1.314679384231570e-01, -1.109544076158174e-03
1403, 1.222792565822600e-01, -1.510924656620886e-03
1429, 1.134960949420930e-01, -1.900380826792364e-03
1455, 1.051684617996220e-01, -2.249124356487886e-03
1481, 9.719923138618471e-02, -2.595323526476394e-03
1507, 8.964005112648010e-02, -2.909660307703850e-03
1533, 8.247101306915280e-02, -3.195655746604471e-03
