"PointID","x","y","Density","Momentum_x","Momentum_y","Energy","Nu_Tilde","Pressure","Temperature","Mach","Pressure_Coefficient","Velocity_x","Velocity_y","Laminar_Viscosity","Skin_Friction_Coefficient_x","Skin_Friction_Coefficient_y","Heat_Flux","Y_Plus","Eddy_Viscosity"
25, 9.853970408439640e-01, 2.175751213154330e-03, 4.296339059460436e-01, 0.000000000000000e+00, 0.000000000000000e+00, 9.848440820997329e+04, 0.000000000000000e+00, 3.939376328398930e+04, 3.194179134773796e+02, 0.000000000000000e+00, 3.899237287294040e-02, 0.000000000000000e+00, 0.000000000000000e+00, 1.936385644795894e-05, 2.608454278189413e-03, -6.233515490431994e-04, -5.515891314241600e+02, 2.535750397946344e+00, 0.000000000000000e+00
51, 9.695732593536380e-01, 7.441185878595478e-03, 4.749849042033318e-01, 0.000000000000000e+00, 0.000000000000000e+00, 1.090798740933907e+05, 0.000000000000000e+00, 4.363194963735629e+04, 3.200038160785166e+02, 0.000000000000000e+00, 3.078816791854970e-01, 0.000000000000000e+00, 0.000000000000000e+00, 1.939072673604967e-05, 1.777660059503940e-03, -5.517350550538280e-04, -2.526681851009674e+02, 2.286627497535220e+00, 0.000000000000000e+00
77, 9.526804089546200e-01, 1.233006198823027e-02, 4.908735337350604e-01, 0.000000000000000e+00, 0.000000000000000e+00, 1.127907453175798e+05, 0.000000000000000e+00, 4.511629812703190e+04, 3.201799895290380e+02, 0.000000000000000e+00, 4.020553191430429e-01, 0.000000000000000e+00, 0.000000000000000e+00, 1.939880152128236e-05, 1.269714551674493e-03, -2.726909725203002e-04, -7.743264720571440e+01, 1.873319855351946e+00, 0.000000000000000e+00
103, 9.349957108497620e-01, 1.486725287645334e-02, 4.894680677733156e-01, 0.000000000000000e+00, 0.000000000000000e+00, 1.124517641707350e+05, 0.000000000000000e+00, 4.498070566829399e+04, 3.201343275991686e+02, 0.000000000000000e+00, 3.934527332415790e-01, 0.000000000000000e+00, 0.000000000000000e+00, 1.939670885054779e-05, 1.104206198554077e-03, -1.152397344400595e-04, -2.177736180618839e+01, 1.697915532792664e+00, 0.000000000000000e+00
129, 9.168222546577450e-01, 1.607237405285520e-02, 4.852016610799869e-01, 0.000000000000000e+00, 0.000000000000000e+00, 1.114435386314440e+05, 0.000000000000000e+00, 4.457741545257758e+04, 3.200537729853397e+02, 0.000000000000000e+00, 3.678662164381175e-01, 0.000000000000000e+00, 0.000000000000000e+00, 1.939301669921955e-05, 1.158111738839535e-03, -6.947426343742569e-05, -2.519043054434962e+01, 1.722621566729183e+00, 0.000000000000000e+00
155, 8.983380794525150e-01, 1.706631696955744e-02, 4.824327465527748e-01, 0.000000000000000e+00, 0.000000000000000e+00, 1.107846678181937e+05, 0.000000000000000e+00, 4.431386712727749e+04, 3.199876502629123e+02, 0.000000000000000e+00, 3.511455438529019e-01, 0.000000000000000e+00, 0.000000000000000e+00, 1.938998567700202e-05, 1.282194599897132e-03, -6.859404519601804e-05, -4.474572202713910e+01, 1.805803420186964e+00, 0.000000000000000e+00
181, 8.797067403793331e-01, 1.805795663454061e-02, 4.807264742882200e-01, 0.000000000000000e+00, 0.000000000000000e+00, 1.103760337827375e+05, 0.000000000000000e+00, 4.415041351309499e+04, 3.199389247103275e+02, 0.000000000000000e+00, 3.407753228981545e-01, 0.000000000000000e+00, 0.000000000000000e+00, 1.938775193098833e-05, 1.367797098388620e-03, -6.993368196031318e-05, -5.668982171234519e+01, 1.859199747603178e+00, 0.000000000000000e+00
207, 8.610174655914310e-01, 1.897447128820562e-02, 4.799629787202481e-01, 0.000000000000000e+00, 0.000000000000000e+00, 1.101874243396858e+05, 0.000000000000000e+00, 4.407496973587431e+04, 3.199002858135642e+02, 0.000000000000000e+00, 3.359888356531206e-01, 0.000000000000000e+00, 0.000000000000000e+00, 1.938598047192942e-05, 1.405421002066748e-03, -6.482567790672177e-05, -5.860212073706663e+01, 1.880468798619152e+00, 0.000000000000000e+00
233, 8.422674536705020e-01, 1.978486062820160e-02, 4.794673044933161e-01, 0.000000000000000e+00, 0.000000000000000e+00, 1.100637918235928e+05, 0.000000000000000e+00, 4.402551672943712e+04, 3.198716936973872e+02, 0.000000000000000e+00, 3.328513179775697e-01, 0.000000000000000e+00, 0.000000000000000e+00, 1.938466955456444e-05, 1.415191556389099e-03, -5.516658493213762e-05, -5.632183270853703e+01, 1.883322424650858e+00, 0.000000000000000e+00
259, 8.235722184181210e-01, 2.043415100376445e-02, 4.787368265732476e-01, 0.000000000000000e+00, 0.000000000000000e+00, 1.098882138950260e+05, 0.000000000000000e+00, 4.395528555801039e+04, 3.198487181060140e+02, 0.000000000000000e+00, 3.283955415222823e-01, 0.000000000000000e+00, 0.000000000000000e+00, 1.938361610666300e-05, 1.419394674621690e-03, -4.413893301169347e-05, -5.445120474412964e+01, 1.881782857035830e+00, 0.000000000000000e+00
