"EVALUATION"    , "BUFFET"        , "DRAG"          , "EFFICIENCY"    , "FORCE_X"       , "FORCE_Y"       , "FORCE_Z"       , "LIFT"          , "MOMENT_X"      , "MOMENT_Y"      , "MOMENT_Z"      , "SIDEFORCE"     , "Time_Iter"     , "Outer_Iter"    , "Inner_Iter"    , "RMS_DENSITY"   , "RMS_MOMENTUM-X", "RMS_MOMENTUM-Y", "RMS_ENERGY"    , "RMS_NU_TILDE"  , "RefForce"      
1               , 0.06514918753   , 0.02088927347   , 29.78233727     , 0.001963003851  , 0.6224788929    , 0.0             , 0.6221313878    , 0.0             , 0.0             , 0.1097827115    , 0.0             , 0.0             , 0.0             , 9999.0          , -9.824306372    , -7.968668028    , -8.152902833    , -4.994465143    , -12.10444918    , 15761.82561     
2               , 0.06514804631   , 0.02072711424   , 30.01534194     , 0.001867740517  , 0.6224737989    , 0.0             , 0.6221314215    , 0.0             , 0.0             , 0.1097305596    , 0.0             , 0.0             , 0.0             , 8603.0          , -12.00019741    , -10.35751424    , -10.51588411    , -7.292884744    , -13.9290038     , 15761.82561     
3               , 0.04982580779   , 0.01994027065   , 31.19974798     , 0.001393020376  , 0.6224493361    , 0.0             , 0.6221314187    , 0.0             , 0.0             , 0.1094392421    , 0.0             , 0.0             , 0.0             , 9803.0          , -12.0005781     , -10.35717236    , -10.47941071    , -7.25036358     , -14.0209478     , 15761.82561     
4               , 0.003641811095  , 0.01655513907   , 37.57932276     , -0.0009325909714, 0.6223504461    , 0.0             , 0.6221309146    , 0.0             , 0.0             , 0.1071532261    , 0.0             , 0.0             , 0.0             , 9935.0          , -12.00014036    , -10.24045403    , -10.3575867     , -7.121310798    , -14.01227328    , 15761.82561     
5               , 0.003633456093  , 0.01185020639   , 52.49958099     , -0.005394168277 , 0.6222203387    , 0.0             , 0.6221308701    , 0.0             , 0.0             , 0.09387068061   , 0.0             , 0.0             , 0.0             , 9672.0          , -12.00002327    , -10.23846769    , -10.28692149    , -6.857175501    , -14.15187333    , 15761.82561     
6               , 0.003641382907  , 0.01121938193   , 55.451442       , -0.005629305355 , 0.6222065978    , 0.0             , 0.6221309065    , 0.0             , 0.0             , 0.09591549823   , 0.0             , 0.0             , 0.0             , 8719.0          , -12.00054127    , -10.12282264    , -10.15174392    , -6.752087786    , -14.22502004    , 15761.82561     
7               , 0.003647552367  , 0.0137854455    , 45.12954035     , -0.003051041892 , 0.6222760524    , 0.0             , 0.6221308188    , 0.0             , 0.0             , 0.1043506443    , 0.0             , 0.0             , 0.0             , 9208.0          , -12.0005435     , -10.23635444    , -10.35118794    , -7.120918673    , -14.0725392     , 15761.82561     
8               , 0.003643914859  , 0.01112200158   , 55.93694071     , -0.005592021596 , 0.622205022     , 0.0             , 0.6221307429    , 0.0             , 0.0             , 0.09672983656   , 0.0             , 0.0             , 0.0             , 7951.0          , -12.00080731    , -10.14228441    , -10.17987564    , -6.828971586    , -14.16790593    , 15761.82561     
9               , 0.003646185351  , 0.01110377329   , 56.02879369     , -0.005493133015 , 0.6222058573    , 0.0             , 0.6221310228    , 0.0             , 0.0             , 0.09780093938   , 0.0             , 0.0             , 0.0             , 8119.0          , -12.00208151    , -9.538833332    , -9.751358043    , -6.601627621    , -14.03040809    , 15761.82561     
10              , 0.003645318308  , 0.01107943726   , 56.15186009     , -0.005549810914 , 0.6222049087    , 0.0             , 0.622131011     , 0.0             , 0.0             , 0.09743220969   , 0.0             , 0.0             , 0.0             , 6846.0          , -12.0004065     , -10.17111731    , -10.35273656    , -7.047533794    , -14.17066035    , 15761.82561     
11              , 0.003644917316  , 0.01105924035   , 56.25442503     , -0.005574786693 , 0.6222045223    , 0.0             , 0.6221312073    , 0.0             , 0.0             , 0.09742722831   , 0.0             , 0.0             , 0.0             , 6289.0          , -12.00041186    , -10.24436913    , -10.46542053    , -7.186969921    , -14.06098557    , 15761.82561     
12              , 0.003643608841  , 0.01095585069   , 56.78529318     , -0.005661071963 , 0.6222019006    , 0.0             , 0.6221311937    , 0.0             , 0.0             , 0.09770309085   , 0.0             , 0.0             , 0.0             , 6952.0          , -12.00038331    , -10.29483797    , -10.5853077     , -7.281931422    , -14.10975436    , 15761.82561     
13              , 0.003637329678  , 0.01069930435   , 58.14689587     , -0.005877539282 , 0.6221955713    , 0.0             , 0.622131336     , 0.0             , 0.0             , 0.09933293416   , 0.0             , 0.0             , 0.0             , 9848.0          , -12.00027155    , -9.9673679      , -10.03284354    , -6.60618831     , -13.71895673    , 15761.82561     
14              , 0.003639429185  , 0.01057908984   , 58.80760427     , -0.005721578678 , 0.6221945619    , 0.0             , 0.6221309285    , 0.0             , 0.0             , 0.1015775979    , 0.0             , 0.0             , 0.0             , 8505.0          , -12.00086893    , -10.10085675    , -10.04768005    , -6.854874286    , -14.10218186    , 15761.82561     
