"Time_Iter","Outer_Iter","Inner_Iter",   "rms[A_Rho]"   ,   "rms[A_RhoU]"  ,   "rms[A_RhoV]"  ,    "rms[A_E]"    ,    "rms[A_nu]"   
          0,           0,           0,      -2.711105249,      -4.946060094,      -4.869252421,      -7.465851173,      -1.335428957
          0,           0,           1,      -2.655892521,       -4.96737921,      -5.002190431,      -7.581833031,       -1.62770591
          0,           0,           2,      -2.617521294,      -5.006002949,      -4.943625663,      -7.722450196,      -1.938424044
          0,           0,           3,      -2.594673525,      -5.033649261,      -4.950254372,      -7.818397046,      -2.183608975
          0,           0,           4,      -2.584021284,      -5.044661708,      -4.997370754,      -7.853068827,      -2.368943882
          0,           0,           5,      -2.578697548,      -5.046024059,      -5.045394804,       -7.87289499,      -2.512766033
          0,           0,           6,      -2.572980658,      -5.042650594,      -5.082713103,      -7.900095115,      -2.625157173
          0,           0,           7,      -2.566861942,       -5.03882164,      -5.119723515,      -7.933397533,       -2.70838469
          0,           0,           8,       -2.56409877,      -5.038436136,      -5.162673333,      -7.968497173,      -2.765795736
          0,           0,           9,      -2.567846532,       -5.04305105,      -5.208687985,       -8.00128477,      -2.804210747
          0,           0,          10,      -2.578525573,      -5.051655124,      -5.252735951,      -8.027144382,      -2.831078415
          0,           0,          11,      -2.593937588,      -5.061819632,      -5.291940771,      -8.043755261,      -2.852042922
          0,           0,          12,      -2.610437165,      -5.071064665,      -5.325780567,      -8.053129192,      -2.870547548
          0,           0,          13,      -2.624579929,      -5.077872313,      -5.354774144,      -8.059433154,      -2.888392809
          0,           0,          14,      -2.634591876,      -5.081995696,      -5.379354035,      -8.065808428,      -2.906347963
          0,           0,          15,      -2.640754248,      -5.084059642,       -5.39946697,      -8.073239865,      -2.924585155
          0,           0,          16,      -2.644549394,      -5.084896042,      -5.414900268,      -8.081128693,      -2.942966534
          0,           0,          17,      -2.647458992,      -5.085082249,      -5.425863648,       -8.08835913,      -2.961231053
          0,           0,          18,       -2.65027563,      -5.084824407,      -5.433255508,       -8.09413512,      -2.979104727
          0,           0,          19,      -2.653067332,      -5.084072223,      -5.438446613,      -8.098291136,      -2.996353388
          0,           0,          20,      -2.655505799,      -5.082700804,      -5.442833376,      -8.101130972,       -3.01279961
          0,           0,          21,      -2.657248091,      -5.080648011,      -5.447467299,      -8.103086282,      -3.028322778
          0,           0,          22,      -2.658179191,      -5.077964482,      -5.452887224,      -8.104467408,      -3.042853735
          0,           0,          23,      -2.658453613,      -5.074787545,      -5.459134367,      -8.105397318,      -3.056368648
          0,           0,          24,      -2.658384826,      -5.071279025,      -5.465888099,      -8.105874427,      -3.068882947
          0,           0,          25,      -2.658285575,       -5.06756823,      -5.472662531,       -8.10587216,      -3.080444718
          0,           0,          26,      -2.658348034,      -5.063724241,      -5.479002614,      -8.105411203,      -3.091126756
          0,           0,          27,      -2.658602745,       -5.05976037,      -5.484618098,      -8.104582427,       -3.10101695
          0,           0,          28,      -2.658949862,      -5.055658913,      -5.489417815,      -8.103528307,      -3.110207632
          0,           0,          29,      -2.659231804,       -5.05139963,       -5.49345502,      -8.102403201,      -3.118785335
          0,           0,          30,      -2.659310543,      -5.046979075,      -5.496835536,      -8.101333138,      -3.126822672
          0,           0,          31,      -2.659119685,      -5.042415865,      -5.499645352,      -8.100389921,      -3.134373666
          0,           0,          32,      -2.658677186,      -5.037744562,      -5.501926625,      -8.099586595,      -3.141472994
          0,           0,          33,      -2.658062861,      -5.033004783,      -5.503696158,      -8.098893129,       -3.14813873
          0,           0,          34,      -2.657378085,      -5.028231843,      -5.504979755,      -8.098264245,      -3.154377471
