"VARIABLE"      , "GRADIENT"      , "FINDIFF_STEP"  
0               , -5.02097        , 0.001           
1               , 14.2387         , 0.001           
2               , 38.7582         , 0.001           
3               , 66.5122         , 0.001           
4               , 96.4714         , 0.001           
5               , 127.839         , 0.001           
6               , 159.854         , 0.001           
7               , 191.739         , 0.001           
8               , 222.735         , 0.001           
9               , 252.204         , 0.001           
10              , 279.814         , 0.001           
11              , 305.755         , 0.001           
12              , 330.954         , 0.001           
13              , 357.205         , 0.001           
14              , 387.318         , 0.001           
15              , 425.818         , 0.001           
16              , 482.126         , 0.001           
17              , 585.396         , 0.001           
18              , 887.339         , 0.001           
19              , -1207.87        , 0.001           
20              , -1980.6         , 0.001           
21              , -2269.67        , 0.001           
22              , -2233.3         , 0.001           
23              , -1986.16        , 0.001           
24              , -1605.57        , 0.001           
25              , -1140.09        , 0.001           
26              , -621.233        , 0.001           
27              , -77.2626        , 0.001           
28              , 452.721         , 0.001           
29              , 907.787         , 0.001           
30              , 1203.84         , 0.001           
31              , 1252.7          , 0.001           
32              , 1012.95         , 0.001           
33              , 564.308         , 0.001           
34              , 133.222         , 0.001           
35              , -65.943         , 0.001           
36              , -86.8911        , 0.001           
37              , -87.6454        , 0.001           
