"PointID","x","y","Adjoint_Density","Adjoint_Momentum_x","Adjoint_Momentum_y","Adjoint_Energy","Adjoint_Nu_Tilde","Sensitivity_x","Sensitivity_y","Surface_Sensitivity"
25, 9.853970408439640e-01, 8.025572712254591e-04, -3.744663908342191e+01, 4.569524347169368e-03, -1.231883359502281e-02, -3.744336443538240e-05, -1.709566790946914e-01, -5.292684595799663e+01, -1.410763481313917e+02, -1.421645654931598e+02
51, 9.695732593536380e-01, 8.138959758616293e-04, -2.392606629925777e+01, -1.167146565669938e-03, 1.144142772349724e-03, 8.382003898248718e-06, -2.103141894199426e-02, -5.747735799213712e-01, -2.222379240752060e+02, -2.222212671676020e+02
77, 9.526804089546200e-01, 4.777561346721410e-04, -1.578085986119736e+01, -3.425179757193684e-04, -1.388029502058018e-04, -1.124763565314643e-05, 5.892332873774138e-03, 3.005861750028753e+00, -1.390990118829483e+02, -1.391313241056152e+02
103, 9.349957108497620e-01, 1.396659024851393e-05, -1.120461246237222e+01, -3.467200351824968e-04, -2.550488852713927e-04, -1.477316394976829e-05, 1.699447053616236e-02, 3.633742373989183e+00, -1.038853744094443e+02, -1.039489044868869e+02
129, 9.168222546577450e-01, -7.699892693558259e-04, -8.590041238694575e+00, -3.407743852190046e-04, -3.684806450198542e-04, -1.445063788419260e-05, 2.209418336897603e-02, 4.265605376082104e+00, -8.695661900991531e+01, -8.706073395842260e+01
155, 8.983380794525150e-01, -1.901831674943028e-03, -7.017757259407527e+00, -3.123557711575283e-04, -4.179517863359860e-04, -1.304623079254844e-05, 2.401994756839780e-02, 5.458922613464391e+00, -8.263760935100530e+01, -8.281694480656358e+01
181, 8.797067403793331e-01, -3.382852647863786e-03, -5.960594065384646e+00, -3.017548856284791e-04, -4.463467948099383e-04, -1.115974747215705e-05, 2.480800953417153e-02, 6.339305062702319e+00, -7.696377156523793e+01, -7.722355196866073e+01
207, 8.610174655914310e-01, -5.152639627562003e-03, -5.209875528297985e+00, -2.927705103395695e-04, -4.654257569140969e-04, -9.220896381608730e-06, 2.505785042995896e-02, 6.752654834934081e+00, -7.023303116336645e+01, -7.055632813959313e+01
233, 8.422674536705020e-01, -7.135519991493229e-03, -4.649292447857427e+00, -2.883540896763202e-04, -1.861620370000215e-04, -6.621806533780370e-06, 2.479970638228384e-02, 6.890967965363628e+00, -6.440907064660564e+01, -6.477600658609312e+01
259, 8.235722184181210e-01, -9.327130522917721e-03, -4.138821566109460e+00, -2.915368577147784e-04, -3.070658183722511e-04, -6.828294651922866e-06, 2.491303670883657e-02, 6.728489244222291e+00, -5.805851991780862e+01, -5.844603371861211e+01
285, 8.049457669258120e-01, -1.169015417132798e-02, -3.743593324225300e+00, -3.075331540495664e-04, -2.068607328430866e-04, -3.446648142114998e-06, 2.469470543323468e-02, 6.222644356632704e+00, -4.911284967793839e+01, -4.950524308808343e+01
311, 7.863141298294070e-01, -1.416680294140005e-02, -3.495823609995591e+00, -2.203334120228909e-04, -4.866084339013737e-04, -3.959477360933828e-06, 2.367960939752662e-02, 5.485857838532662e+00, -4.231443911662448e+01, -4.266722833843733e+01
337, 7.678796052932740e-01, -1.679417705696196e-02, -3.220571025950297e+00, -2.282682011156895e-04, -4.870835156239427e-04, -2.957302870049233e-06, 2.327420215538079e-02, 4.878257827064515e+00, -3.503071759437518e+01, -3.536809168440220e+01
363, 7.495508193969730e-01, -1.951542803245712e-02, -2.982440270557778e+00, -2.219845786785616e-04, -4.902681635536822e-04, -2.153028586929477e-06, 2.289544162093671e-02, 3.630657557202921e+00, -2.542544165728568e+01, -2.568250691269750e+01
389, 7.313483357429500e-01, -2.231411092388132e-02, -2.806266660010567e+00, -2.141651317415562e-04, -4.813171028483480e-04, -1.516241145974793e-06, 2.223688334564265e-02, 2.845275515257923e+00, -1.892952043166272e+01, -1.914194053231340e+01
415, 7.132214307785030e-01, -2.515458241750070e-02, -2.704797573498110e+00, -1.851068004666978e-04, -5.364005985917891e-04, -9.026484230953558e-07, 2.123652900296296e-02, 2.740165330338671e+00, -1.784225024400842e+01, -1.805126949679349e+01
441, 6.951977014541630e-01, -2.802583476273940e-02, -2.633767408441266e+00, -5.125063637465375e-05, -1.331494872786179e-03, -1.329581177933360e-06, 2.028930983693654e-02, 2.843958234993971e+00, -1.793768944182976e+01, -1.816170820735706e+01
467, 6.773055195808410e-01, -3.091787122167724e-02, -2.519881599966090e+00, -1.706003357759801e-04, -5.348030417004511e-04, 3.456623592730168e-07, 1.925574683975661e-02, 3.071421175885339e+00, -1.843210374678319e+01, -1.868602145949968e+01
493, 6.594728827476500e-01, -3.379591666572203e-02, -2.439003694909207e+00, -2.080052050188891e-04, -2.043362594562286e-04, 1.425169683731298e-06, 1.820446043313320e-02, 3.145225691902725e+00, -1.899802858787656e+01, -1.925651114708284e+01
519, 6.418011188507080e-01, -3.667147616862394e-02, -2.394362025783920e+00, -2.273195242451402e-04, -4.784514587591168e-05, 1.789726305008737e-06, 1.723619856218304e-02, 2.868420684801812e+00, -1.760949707402092e+01, -1.784158612618713e+01
545, 6.243042349815370e-01, -3.953544053988261e-02, -2.469273924216937e+00, -1.989017880823913e-04, -2.810581959030471e-05, 2.110892778240392e-06, 1.610152618068688e-02, 3.638548057090277e+00, -1.950186303076869e+01, -1.983097372900543e+01
571, 6.065399646759030e-01, -4.225740497672213e-02, -2.543424199235496e+00, -1.680040082251031e-04, -1.847783572212320e-04, 2.560577522460300e-06, 1.543946426964505e-02, 3.445147226036070e+00, -2.046792050178623e+01, -2.075299671164723e+01
597, 5.888153314590450e-01, -4.490668172685115e-02, -2.546438407491891e+00, -1.279741264135019e-04, -4.360682718135835e-04, 2.468108669050622e-06, 1.505329907923935e-02, 3.241851685390752e+00, -2.109685122586426e+01, -2.134430108828468e+01
623, 5.713157057762150e-01, -4.752350652597705e-02, -2.540270836854980e+00, -1.245646918475137e-04, -4.219119602926813e-04, 2.988791637801703e-06, 1.466911161144681e-02, 3.399567094324274e+00, -2.061046895575188e+01, -2.088559141084820e+01
649, 5.538190603256230e-01, -5.003570206596038e-02, -2.544534881285021e+00, -1.238915295661784e-04, -4.605512004983521e-04, 3.287346398570977e-06, 1.438337475436618e-02, 2.841555725482282e+00, -1.716175922413587e+01, -1.739014236169555e+01
675, 5.363336801528930e-01, -5.243423294567882e-02, -2.616032273341674e+00, -2.611268392122098e-05, -1.176609449222347e-03, 3.124077622756585e-06, 1.373584852971652e-02, 1.890138766518076e+00, -9.714380976862635e+00, -9.878784930658146e+00
701, 5.188096761703490e-01, -5.469227222488741e-02, -2.703374903870563e+00, -1.160331101729528e-05, -1.128080812308727e-03, 2.974278623933811e-06, 1.265991951447643e-02, 1.162500479296765e+00, -4.494456345699398e+00, -4.603410045496460e+00
727, 5.012295246124270e-01, -5.679066280738912e-02, -2.665944201473645e+00, -1.120171991118462e-04, -4.381508274852575e-04, 3.560697424660083e-06, 1.223037924745646e-02, 5.071154384150870e-01, 2.025399906859449e+00, 1.954908640874650e+00
753, 4.835794866085050e-01, -5.870938982897716e-02, -2.656798454252249e+00, -1.427837507970321e-04, -1.353381985693489e-04, 4.842197166358788e-06, 1.178134286501753e-02, 5.548625902585726e-02, 8.020832854343718e+00, 7.972933707777607e+00
779, 4.658685922622680e-01, -6.043296911495571e-02, -2.642171546259195e+00, -1.493291543613131e-04, 2.447416373818878e-05, 3.999043845553280e-06, 1.148397423255883e-02, -1.860467666034478e-01, 9.378136553753874e+00, 9.356616280535130e+00
805, 4.480717480182650e-01, -6.192926755612326e-02, -2.508360041794810e+00, -2.096900987107270e-04, 3.014671383704805e-04, 5.350745642106951e-06, 1.191854875007364e-02, -7.741091576120802e-01, 2.040731547268006e+01, 2.040686543122914e+01
831, 4.301885962486270e-01, -6.316446923071113e-02, -2.455053530709579e+00, -2.025224638795589e-04, 3.250715351331212e-04, 5.481717527429032e-06, 1.160207662174298e-02, -9.120581822003172e-01, 2.681053692360480e+01, 2.681600063241890e+01
857, 4.122794568538670e-01, -6.412870330793279e-02, -2.454861780816093e+00, -1.891135898864104e-04, 3.370145693777304e-04, 5.461271886898857e-06, 1.095542722297277e-02, -6.627505612366217e-01, 2.844341186076405e+01, 2.844394396948309e+01
883, 3.944020271301270e-01, -6.480376962985848e-02, -2.473744051731132e+00, -1.717072236046429e-04, 3.368166363586433e-04, 5.277100772831552e-06, 1.023461828397525e-02, -4.769644512949958e-01, 2.865703894629539e+01, 2.865893162971082e+01
909, 3.766198158264160e-01, -6.515167902448665e-02, -2.500152694820980e+00, -1.473823553166208e-04, 3.238322170599573e-04, 5.009531089212313e-06, 9.511986283216246e-03, -3.926616521466725e-02, 2.613944712734236e+01, 2.613822210840107e+01
935, 3.590588271617890e-01, -6.520314573115185e-02, -2.520744995991735e+00, -1.210740783849801e-04, 3.061871520552305e-04, 4.691756669755958e-06, 8.790560569954078e-03, 3.130182246719572e-01, 2.150517723632670e+01, 2.150656581284127e+01
961, 3.418258726596830e-01, -6.496169214270740e-02, -2.500413828911282e+00, -9.869853743454014e-05, 2.951316005382563e-04, 4.406567904105678e-06, 8.218857373350461e-03, 3.495548035844369e-01, 1.622885750935552e+01, 1.623261518478930e+01
987, 3.249974250793460e-01, -6.449983432643318e-02, -2.358067799206828e+00, -1.171440362833747e-04, 8.422326411067553e-05, 3.471608932111497e-06, 8.063802819501222e-03, 4.675771885478932e-01, 2.021244000325817e+01, 2.021658566499005e+01
1013, 3.086399734020230e-01, -6.382291180513797e-02, -2.299351238760172e+00, -1.070245147532154e-04, -5.945166151101481e-06, 4.147876468009551e-06, 7.083546818410124e-03, 1.208454819730016e+00, 2.501941912223504e+01, 2.504857316836080e+01
1039, 2.927811741828920e-01, -6.297734572371001e-02, -2.405207838567228e+00, -5.613246484865352e-05, -1.696394093144037e-04, 2.574156431250466e-06, 5.105414519853059e-03, 6.551499782405846e-01, 1.419246573126859e+01, 1.420654511846267e+01
1065, 2.774220108985900e-01, -6.200416226134410e-02, -2.435401346723190e+00, -3.113815553029198e-05, 7.628180284664669e-06, 2.668394342957905e-06, 4.100157093134211e-03, 3.562633059558729e-01, 5.899025246567523e+00, 5.909611888812856e+00
1091, 2.625653147697450e-01, -6.092814602811947e-02, -2.314445244734495e+00, -1.011152768676291e-04, -6.166983134406369e-04, 9.298841176624873e-07, 4.179949813362612e-03, 2.794879877200770e-01, 6.547413020232806e+00, 6.549545300822981e+00
1117, 2.482267022132870e-01, -5.975601082000362e-02, -2.113614757710829e+00, -9.681368748314133e-05, -2.545329034348334e-04, 2.355579312055962e-06, 4.355084648727299e-03, 1.265094862907009e+00, 1.544002274965763e+01, 1.549161457881041e+01
