"PointID","x","y","Sensitivity_x","Sensitivity_y","Surface_Sensitivity"
25, 9.853970408439640e-01, 8.025572712254591e-04, -1.445681266469749e+01, -6.988402071695751e+02, 6.989896453487886e+02
51, 9.695732593536380e-01, 8.138959758616293e-04, 7.331258114695244e+00, -6.785289241600852e+02, 6.785682679372843e+02
77, 9.526804089546200e-01, 4.777561346721410e-04, -6.921130640862485e+00, -1.229134001268526e+02, 1.227204487044359e+02
103, 9.349957108497620e-01, 1.396659024851393e-05, 6.648768931552455e+00, -1.247544539998098e+02, 1.249102108056036e+02
129, 9.168222546577450e-01, -7.699892693558259e-04, 4.510980824479520e+00, -9.700466257281892e+01, 9.710788972925215e+01
155, 8.983380794525150e-01, -1.901831674943028e-03, 4.237192557319545e+00, -7.049859924532184e+01, 7.062210801256545e+01
181, 8.797067403793331e-01, -3.382852647863786e-03, 4.866996912627116e+00, -5.500019836753958e+01, 5.521506782646031e+01
207, 8.610174655914310e-01, -5.152639627562003e-03, 5.140621962531502e+00, -4.819914508427506e+01, 4.847152534963762e+01
233, 8.422674536705020e-01, -7.135519991493229e-03, 4.021515747644815e+00, -3.582587552091626e+01, 3.605086955552848e+01
259, 8.235722184181210e-01, -9.327130522917721e-03, 5.117335544374880e+00, -3.800665148304573e+01, 3.834666220084539e+01
285, 8.049457669258120e-01, -1.169015417132798e-02, 4.333645075963044e+00, -3.431027816161010e+01, 3.458266560618899e+01
311, 7.863141298294070e-01, -1.416680294140005e-02, 2.994303152492447e+00, -2.149104170841594e+01, 2.169860650560398e+01
337, 7.678796052932740e-01, -1.679417705696196e-02, 3.923658321260331e+00, -2.529936506273005e+01, 2.560068728000767e+01
363, 7.495508193969730e-01, -1.951542803245712e-02, 3.443797323672672e+00, -2.219064641209977e+01, 2.245610107778562e+01
389, 7.313483357429500e-01, -2.231411092388132e-02, 3.224998592917418e+00, -2.031987759261844e+01, 2.057408891027956e+01
415, 7.132214307785030e-01, -2.515458241750070e-02, 2.819506413982616e+00, -1.726344334005303e+01, 1.749193668753038e+01
441, 6.951977014541630e-01, -2.802583476273940e-02, 3.000323015250319e+00, -1.831418862037453e+01, 1.855822604355846e+01
467, 6.773055195808410e-01, -3.091787122167724e-02, 2.721234690995242e+00, -1.697214602924932e+01, 1.718890539387285e+01
493, 6.594728827476500e-01, -3.379591666572203e-02, 2.605489530135912e+00, -1.444267594078906e+01, 1.467348059372507e+01
519, 6.418011188507080e-01, -3.667147616862394e-02, 2.233929971737072e+00, -1.398358910747108e+01, 1.416082431320478e+01
545, 6.243042349815370e-01, -3.953544053988261e-02, 1.532153091081027e+00, -1.005252566999182e+01, 1.016844212093001e+01
571, 6.065399646759030e-01, -4.225740497672213e-02, 2.184042358289637e+00, -1.215558135720382e+01, 1.234553820465528e+01
597, 5.888153314590450e-01, -4.490668172685115e-02, 2.079232769916244e+00, -1.465784182077149e+01, 1.480416272689155e+01
623, 5.713157057762150e-01, -4.752350652597705e-02, 1.553513054791867e+00, -1.162930758904228e+01, 1.173166294691130e+01
649, 5.538190603256230e-01, -5.003570206596038e-02, 2.176845549101878e+00, -1.321052128506072e+01, 1.338486511268607e+01
675, 5.363336801528930e-01, -5.243423294567882e-02, 1.321085691089597e+00, -1.032087235184276e+01, 1.040495307904299e+01
701, 5.188096761703490e-01, -5.469227222488741e-02, 2.961434356835346e-01, -2.060167503023603e+00, 2.080955930527564e+00
727, 5.012295246124270e-01, -5.679066280738912e-02, 1.601116550177963e+00, -1.170482485914293e+01, 1.181085946909887e+01
753, 4.835794866085050e-01, -5.870938982897716e-02, 6.346885168326158e-01, -6.745243737969089e+00, 6.774774456156824e+00
779, 4.658685922622680e-01, -6.043296911495571e-02, 6.731857458335126e-01, -7.602958384695831e+00, 7.632685836174013e+00
805, 4.480717480182650e-01, -6.192926755612326e-02, 1.503282784706115e+00, -1.774556417613056e+01, 1.780853933035145e+01
831, 4.301885962486270e-01, -6.316446923071113e-02, 4.601803159022532e-01, -9.905151274056678e+00, 9.914727481500885e+00
857, 4.122794568538670e-01, -6.412870330793279e-02, 3.083598467469226e-01, -7.370127262693890e+00, 7.376517333179807e+00
883, 3.944020271301270e-01, -6.480376962985848e-02, 1.486234524678987e-01, -6.056281364489715e+00, 6.058052713785365e+00
909, 3.766198158264160e-01, -6.515167902448665e-02, 1.058695632425404e-01, -4.842071243547740e+00, 4.842958377825725e+00
935, 3.590588271617890e-01, -6.520314573115185e-02, -1.833442636664133e-01, -4.938326140119897e+00, 4.939253630538091e+00
961, 3.418258726596830e-01, -6.496169214270740e-02, -1.018113768126510e-01, -3.486531293223209e+00, 3.487890070532402e+00
987, 3.249974250793460e-01, -6.449983432643318e-02, -3.720662837381579e-01, -1.457093221007495e+01, 1.457512092282177e+01
1013, 3.086399734020230e-01, -6.382291180513797e-02, -9.977275015783407e-02, -2.580700832518220e+00, 2.582533682313920e+00
1039, 2.927811741828920e-01, -6.297734572371001e-02, 2.705012426652013e-01, 1.128924051738287e+01, -1.128586286204760e+01
1065, 2.774220108985900e-01, -6.200416226134410e-02, 3.330716229888364e-01, 6.428873155269302e+00, -6.436676275758575e+00
1091, 2.625653147697450e-01, -6.092814602811947e-02, -5.846660906518824e-01, -9.219581708791635e+00, 9.237257138250495e+00
1117, 2.482267022132870e-01, -5.975601082000362e-02, -7.631025409765394e-01, -1.058505715309084e+01, 1.061146077999168e+01
1143, 2.344165146350860e-01, -5.849702532871569e-02, 3.110596481164724e-01, 6.961827265503319e+00, -6.960102094937925e+00
1169, 2.210974693298340e-01, -5.718351471520409e-02, 7.114068821153152e-01, 8.228156991321026e+00, -8.257908113527519e+00
1195, 2.082438766956330e-01, -5.583453133236301e-02, -4.905520569994202e-01, -6.557368003938629e+00, 6.571940750741454e+00
1221, 1.958884000778200e-01, -5.443890744899536e-02, -8.520078460400312e-01, -6.889519989451232e+00, 6.941843208841213e+00
1247, 1.840233504772190e-01, -5.300586065381049e-02, 1.119907108318808e+00, 1.138457671137720e+01, -1.143595862616351e+01
1273, 1.725961565971370e-01, -5.155864058741055e-02, 1.703443793979235e-01, 3.817196236375708e-01, -4.004848055926462e-01
1299, 1.616173982620240e-01, -5.009491151287113e-02, -4.550574057361770e-01, -2.565629458372036e+00, 2.603694018975639e+00
1325, 1.511152982711790e-01, -4.860674035917681e-02, 2.488569488897131e-01, 1.647572481220620e+00, -1.666232979006140e+00
1351, 1.410477757453920e-01, -4.710932820963108e-02, -6.075037054651564e-01, -4.540088354212827e+00, 4.579688944215823e+00
1377, 1.314679384231570e-01, -4.558829903130673e-02, 6.772227176840472e-01, 5.957109631061495e+00, -5.988783064407627e+00
1403, 1.222792565822600e-01, -4.407145678342146e-02, 9.878436797029726e-01, 5.639509804540593e+00, -5.725265888948071e+00
1429, 1.134960949420930e-01, -4.255390858620720e-02, -1.187318407793960e+00, -7.366080193130537e+00, 7.460149216435396e+00
