"Time_Iter","Outer_Iter","Inner_Iter",   "rms[A_Rho]"   ,   "rms[A_RhoU]"  ,   "rms[A_RhoV]"  ,    "rms[A_E]"    ,    "rms[A_nu]"   
          0,           0,           0,      -2.230713439,      -4.466248636,      -4.385469806,      -6.983250391,     -0.8513030625
          0,           0,           1,      -2.174698806,      -4.487109995,      -4.518085291,      -7.099537368,      -1.143395455
          0,           0,           2,      -2.136289412,      -4.525767934,      -4.460273299,      -7.240552859,      -1.454159963
          0,           0,           3,      -2.113615328,      -4.553444909,      -4.467393657,      -7.336561243,      -1.699555841
          0,           0,           4,      -2.103158135,      -4.564399627,      -4.514803421,       -7.37100808,      -1.885262974
          0,           0,           5,      -2.097932044,      -4.565685124,      -4.562994869,      -7.390739593,      -2.029563331
          0,           0,           6,      -2.092167791,      -4.562223524,      -4.600344384,      -7.418052897,      -2.142470427
          0,           0,           7,      -2.085918526,      -4.558316124,      -4.637318142,      -7.451593484,      -2.226139598
          0,           0,           8,      -2.083039747,       -4.55790245,      -4.680228007,      -7.486973682,      -2.283823199
          0,           0,           9,      -2.086742992,      -4.562558376,      -4.726201091,      -7.520033237,      -2.322340325
          0,           0,          10,      -2.097454621,      -4.571259959,      -4.770188064,      -7.546113084,      -2.349197517
          0,           0,          11,      -2.112952354,      -4.581545849,      -4.809318787,      -7.562861849,       -2.37009315
          0,           0,          12,      -2.129554946,       -4.59090162,      -4.843100022,      -7.572300503,      -2.388501747
          0,           0,          13,      -2.143787685,      -4.597790871,      -4.872074413,      -7.578632393,      -2.406238894
          0,           0,          14,      -2.153866521,       -4.60197132,      -4.896676649,      -7.585029422,      -2.424081429
          0,           0,          15,      -2.160083188,      -4.604086558,       -4.91683703,      -7.592489485,      -2.442206309
          0,           0,          16,      -2.163936339,      -4.604986195,       -4.93232249,      -7.600414849,      -2.460479756
          0,           0,          17,      -2.166915836,      -4.605255061,      -4.943332058,      -7.607687168,       -2.47864483
          0,           0,          18,      -2.169811303,      -4.605096268,      -4.950766716,      -7.613509315,       -2.49643179
          0,           0,          19,      -2.172681628,      -4.604450796,      -4.956007237,      -7.617716776,      -2.513610457
          0,           0,          20,      -2.175189935,       -4.60318488,      -4.960460148,      -7.620614255,      -2.530006535
          0,           0,          21,      -2.176989867,      -4.601231048,      -4.965183906,      -7.622632321,      -2.545501156
          0,           0,          22,      -2.177969076,      -4.598639173,      -4.970721365,      -7.624078433,      -2.560025298
          0,           0,          23,      -2.178288562,      -4.595549253,      -4.977115733,        -7.6250726,      -2.573553775
          0,           0,          24,      -2.178268661,      -4.592127111,      -4.984046503,      -7.625611943,       -2.58609958
          0,           0,          25,      -2.178226772,      -4.588505466,      -4.991025656,      -7.625670852,      -2.597707848
          0,           0,          26,      -2.178356603,      -4.584755132,      -4.997593876,      -7.625272519,      -2.608448453
          0,           0,          27,      -2.178687608,      -4.580889324,      -5.003455645,       -7.62451047,      -2.618406817
          0,           0,          28,      -2.179117421,      -4.576888977,      -5.008515159,      -7.623528769,      -2.627673497
          0,           0,          29,      -2.179485832,      -4.572732112,      -5.012822724,      -7.622481835,      -2.636333966
          0,           0,          30,      -2.179653099,      -4.568413996,       -5.01648268,      -7.621494494,      -2.644460377
          0,           0,          31,      -2.179552545,      -4.563952893,       -5.01957985,      -7.620636777,      -2.652106675
          0,           0,          32,      -2.179203177,      -4.559383962,      -5.022154415,      -7.619920104,      -2.659307615
          0,           0,          33,      -2.178686627,      -4.554748031,      -5.024220065,      -7.619313472,      -2.666081298
          0,           0,          34,      -2.178106107,      -4.550081746,      -5.025799009,      -7.618771487,      -2.672434171
          0,           0,          35,      -2.177547916,      -4.545412582,      -5.026946354,      -7.618262293,      -2.678367089
          0,           0,          36,      -2.177059547,      -4.540758742,      -5.027749597,      -7.617784453,      -2.683881131
          0,           0,          37,      -2.176647948,       -4.53613185,      -5.028305928,      -7.617367328,      -2.688982173
          0,           0,          38,      -2.176292702,      -4.531539963,      -5.028691025,      -7.617057087,      -2.693683697
          0,           0,          39,      -2.175964678,      -4.526989379,      -5.028934598,       -7.61689626,      -2.698007752
          0,           0,          40,       -2.17564132,      -4.522485007,      -5.029012189,      -7.616906298,      -2.701984332
          0,           0,          41,      -2.175313639,      -4.518029991,      -5.028854562,      -7.617079758,      -2.705649633
          0,           0,          42,      -2.174984752,      -4.513625541,      -5.028369363,      -7.617383727,      -2.709043686
          0,           0,          43,      -2.174663371,      -4.509271547,      -5.027466494,      -7.617771315,      -2.712207829
          0,           0,          44,      -2.174356778,      -4.504968032,      -5.026079003,      -7.618195455,      -2.715182362
          0,           0,          45,      -2.174066716,      -4.500716992,      -5.024174396,      -7.618619338,      -2.718004606
          0,           0,          46,      -2.173789372,      -4.496524024,      -5.021755534,      -7.619020089,      -2.720707459
          0,           0,          47,      -2.173518505,      -4.492399265,      -5.018853873,       -7.61938545,      -2.723318465
          0,           0,          48,      -2.173249643,      -4.488357469,      -5.015519482,      -7.619705861,      -2.725859329
          0,           0,          49,      -2.172983274,      -4.484417363,      -5.011811874,      -7.619965462,      -2.728345807
          0,           0,          50,      -2.172725827,      -4.480600587,      -5.007793904,      -7.620135135,      -2.730787884
          0,           0,          51,      -2.172488327,      -4.476930596,      -5.003529019,      -7.620169319,      -2.733190182
          0,           0,          52,      -2.172283452,       -4.47343174,      -4.999080827,      -7.620006719,      -2.735552574
          0,           0,          53,      -2.172122051,      -4.470128631,      -4.994513513,      -7.619573914,      -2.737870972
          0,           0,          54,      -2.172010005,      -4.467045733,         -4.989892,      -7.618790392,       -2.74013826
          0,           0,          55,      -2.171945917,       -4.46420704,      -4.985281402,      -7.617573675,      -2.742345326
          0,           0,          56,      -2.171919656,      -4.461635715,      -4.980745845,      -7.615843693,      -2.744482106
          0,           0,          57,      -2.171911516,       -4.45935359,       -4.97634704,      -7.613526127,      -2.746538543
          0,           0,          58,      -2.171891717,      -4.457380512,      -4.972142965,      -7.610554819,      -2.748505367
          0,           0,          59,       -2.17182005,      -4.455733575,      -4.968186815,      -7.606873564,      -2.750374637
          0,           0,          60,      -2.171645682,      -4.454426317,      -4.964526203,      -7.602437551,      -2.752140023
          0,           0,          61,      -2.171307303,      -4.453467959,      -4.961202486,      -7.597214627,      -2.753796843
          0,           0,          62,      -2.170733876,      -4.452862772,       -4.95825009,      -7.591186419,      -2.755341944
          0,           0,          63,      -2.169846281,      -4.452609607,      -4.955695801,      -7.584349232,      -2.756773484
          0,           0,          64,      -2.168560016,      -4.452701616,      -4.953558092,      -7.576714648,      -2.758090707
          0,           0,          65,      -2.166789021,      -4.453126158,      -4.951846609,      -7.568309693,      -2.759293769
          0,           0,          66,      -2.164450456,      -4.453864891,      -4.950561977,      -7.559176522,      -2.760383627
          0,           0,          67,      -2.161470113,      -4.454894018,      -4.949696025,      -7.549371551,      -2.761362016
          0,           0,          68,       -2.15778797,      -4.456184686,      -4.949232485,      -7.538964059,      -2.762231474
          0,           0,          69,      -2.153363279,      -4.457703511,      -4.949148136,      -7.528034282,      -2.762995397
          0,           0,          70,      -2.148178586,      -4.459413224,      -4.949414308,      -7.516671128,      -2.763658095
          0,           0,          71,      -2.142242157,      -4.461273423,       -4.94999863,      -7.504969613,      -2.764224823
          0,           0,          72,        -2.1355885,      -4.463241421,      -4.950866866,      -7.493028217,      -2.764701777
          0,           0,          73,      -2.128276904,      -4.465273156,      -4.951984734,      -7.480946302,      -2.765096051
          0,           0,          74,      -2.120388221,       -4.46732416,      -4.953319566,      -7.468821749,      -2.765415547
          0,           0,          75,      -2.112020319,      -4.469350548,      -4.954841725,      -7.456748902,      -2.765668853
          0,           0,          76,      -2.103282765,       -4.47130999,      -4.956525724,      -7.444816909,      -2.765865096
          0,           0,          77,      -2.094291327,      -4.473162645,      -4.958350997,      -7.433108436,      -2.766013777
          0,           0,          78,      -2.085162795,      -4.474872007,      -4.960302328,      -7.421698775,      -2.766124599
          0,           0,          79,      -2.076010489,      -4.476405629,       -4.96236994,      -7.410655276,      -2.766207304
