"VARIABLE"      , "GRADIENT"      , "FINDIFF_STEP"  
0               , 15.5897         , 0.001           
1               , -42.9166        , 0.001           
2               , -117.455        , 0.001           
3               , -201.853        , 0.001           
4               , -292.976        , 0.001           
5               , -388.394        , 0.001           
6               , -485.788        , 0.001           
7               , -582.791        , 0.001           
8               , -677.085        , 0.001           
9               , -766.729        , 0.001           
10              , -850.698        , 0.001           
11              , -929.57         , 0.001           
12              , -1006.16        , 0.001           
13              , -1085.91        , 0.001           
14              , -1177.36        , 0.001           
15              , -1294.27        , 0.001           
16              , -1465.26        , 0.001           
17              , -1778.91        , 0.001           
18              , -2696.11        , 0.001           
19              , 3663.06         , 0.001           
20              , 6008.84         , 0.001           
21              , 6886.98         , 0.001           
22              , 6777.39         , 0.001           
23              , 6028.06         , 0.001           
24              , 4873.63         , 0.001           
25              , 3461.54         , 0.001           
26              , 1887.44         , 0.001           
27              , 237.111         , 0.001           
28              , -1370.84        , 0.001           
29              , -2751.56        , 0.001           
30              , -3649.92        , 0.001           
31              , -3798.38        , 0.001           
32              , -3071.27        , 0.001           
33              , -1710.39        , 0.001           
34              , -402.739        , 0.001           
35              , 201.265         , 0.001           
36              , 264.526         , 0.001           
37              , 266.471         , 0.001           
