"PointID","x","y","Adjoint_Density","Adjoint_Momentum_x","Adjoint_Momentum_y","Adjoint_Energy","Adjoint_Nu_Tilde","Sensitivity_x","Sensitivity_y","Surface_Sensitivity"
25, 9.853970408439640e-01, 8.025572712254591e-04, 1.137609894232803e+02, -1.386723983452959e-02, 3.770211757054915e-02, 1.139654070523961e-04, 5.191272922566053e-01, 1.607832722524313e+02, 4.218634153619162e+02, 4.251707458607548e+02
51, 9.695732593536380e-01, 8.138959758616293e-04, 7.269306961471420e+01, 3.554336650082731e-03, -3.197253086356775e-03, -2.525006755220227e-05, 6.365473118622506e-02, 1.865938653512724e+00, 6.699525460819198e+02, 6.699010098932748e+02
77, 9.526804089546200e-01, 4.777561346721410e-04, 4.795081600388220e+01, 1.046350018097005e-03, 6.911422428678212e-04, 3.431766252944114e-05, -1.814393017446769e-02, -8.988583611098026e+00, 4.178711472793881e+02, 4.179672596223520e+02
103, 9.349957108497620e-01, 1.396659024851393e-05, 3.404819032750991e+01, 1.056348296035151e-03, 1.040781481892055e-03, 4.502174651217736e-05, -5.187339889048011e-02, -1.086297415042362e+01, 3.112086550056185e+02, 3.113981856197180e+02
129, 9.168222546577450e-01, -7.699892693558259e-04, 2.610213635345613e+01, 1.035322620844746e-03, 1.363826740867390e-03, 4.401307820572938e-05, -6.736971578973179e-02, -1.272562378480402e+01, 2.600356529438691e+02, 2.603454191173818e+02
155, 8.983380794525150e-01, -1.901831674943028e-03, 2.132138565624388e+01, 9.466268539620059e-04, 1.488554798906743e-03, 3.972042448331835e-05, -7.322063486198271e-02, -1.629319246347428e+01, 2.471045113767209e+02, 2.476386442706186e+02
181, 8.797067403793331e-01, -3.382852647863786e-03, 1.810527521599019e+01, 9.132286341594469e-04, 1.548959041238193e-03, 3.396784177259091e-05, -7.561515070427975e-02, -1.891104643728510e+01, 2.299507536545508e+02, 2.307243691531409e+02
207, 8.610174655914310e-01, -5.152639627562003e-03, 1.582035443037735e+01, 8.857916932824917e-04, 1.584740533460594e-03, 2.806039033265927e-05, -7.637575655974166e-02, -2.012117588936829e+01, 2.095319255142453e+02, 2.104939933155679e+02
233, 8.422674536705020e-01, -7.135519991493229e-03, 1.411325305160647e+01, 8.734106788618005e-04, 7.087948160721533e-04, 2.013105282903062e-05, -7.559288601537047e-02, -2.050187199637121e+01, 1.918513523243353e+02, 1.929416814236775e+02
259, 8.235722184181210e-01, -9.327130522917721e-03, 1.255801988193939e+01, 8.838674320258076e-04, 1.060763029331089e-03, 2.077838584087275e-05, -7.594581130790241e-02, -1.996234590941726e+01, 1.725229288115601e+02, 1.736706121823885e+02
285, 8.049457669258120e-01, -1.169015417132798e-02, 1.135333013707521e+01, 9.344583189641679e-04, 7.350867703590122e-04, 1.045535352640429e-05, -7.528890780156811e-02, -1.838934913183767e+01, 1.452752714949129e+02, 1.464337558526953e+02
311, 7.863141298294070e-01, -1.416680294140005e-02, 1.059817428229672e+01, 6.696995303902860e-04, 1.575053593782027e-03, 1.202778556185565e-05, -7.220309574600746e-02, -1.611392136138552e+01, 1.245722762862688e+02, 1.256059296905990e+02
337, 7.678796052932740e-01, -1.679417705696196e-02, 9.759014338347244e+00, 6.957100852584392e-04, 1.559783001514471e-03, 8.972294570150451e-06, -7.097639654571361e-02, -1.422573886197063e+01, 1.023616959607369e+02, 1.033433752437321e+02
363, 7.495508193969730e-01, -1.951542803245712e-02, 9.032768637374886e+00, 6.782949062920334e-04, 1.555747686337981e-03, 6.520807386635951e-06, -6.983148751199118e-02, -1.039402182422508e+01, 7.305178154123358e+01, 7.378477295601051e+01
389, 7.313483357429500e-01, -2.231411092388132e-02, 8.495116618513670e+00, 6.561619135790923e-04, 1.516765888429596e-03, 4.581063814061962e-06, -6.783526269794814e-02, -7.966120579969731e+00, 5.315218497302534e+01, 5.374509196043839e+01
415, 7.132214307785030e-01, -2.515458241750070e-02, 8.184788583862922e+00, 5.692067185737880e-04, 1.674774156722450e-03, 2.713209140082681e-06, -6.479959039480911e-02, -7.610176859899044e+00, 4.969055286145645e+01, 5.026936692585782e+01
441, 6.951977014541630e-01, -2.802583476273940e-02, 7.967041473874897e+00, 1.627646176287477e-04, 4.089491633474654e-03, 4.018309883540104e-06, -6.192659538267008e-02, -7.883253150552129e+00, 4.977917570918430e+01, 5.039941808995187e+01
