"PointID","x","y","Sensitivity_x","Sensitivity_y","Surface_Sensitivity"
25, 9.853970408439640e-01, 8.025572712254591e-04, 4.391806322469257e+01, 2.122876649765414e+03, -2.123330651020514e+03
51, 9.695732593536380e-01, 8.138959758616293e-04, -2.227784322330893e+01, 2.061626343447032e+03, -2.061745911665306e+03
77, 9.526804089546200e-01, 4.777561346721410e-04, 2.102854424739494e+01, 3.735289240720014e+02, -3.729426563720074e+02
103, 9.349957108497620e-01, 1.396659024851393e-05, -2.019927003916109e+01, 3.790414971664579e+02, -3.795146744623042e+02
129, 9.168222546577450e-01, -7.699892693558259e-04, -1.370962640505129e+01, 2.947877119129896e+02, -2.951014715703032e+02
155, 8.983380794525150e-01, -1.901831674943028e-03, -1.287582484235955e+01, 2.142471222653901e+02, -2.146223903109683e+02
181, 8.797067403793331e-01, -3.382852647863786e-03, -1.479232433977670e+01, 1.671449838894988e+02, -1.677981064726238e+02
207, 8.610174655914310e-01, -5.152639627562003e-03, -1.562382490304872e+01, 1.465032436201552e+02, -1.473310244901406e+02
233, 8.422674536705020e-01, -7.135519991493229e-03, -1.221564148536583e+01, 1.088467119765989e+02, -1.095300054916242e+02
259, 8.235722184181210e-01, -9.327130522917721e-03, -1.556222868957234e+01, 1.155532157480724e+02, -1.165874223586354e+02
285, 8.049457669258120e-01, -1.169015417132798e-02, -1.317497763419245e+01, 1.043278766153528e+02, -1.051558189733698e+02
311, 7.863141298294070e-01, -1.416680294140005e-02, -9.093979306856474e+00, 6.527866959840144e+01, -6.590898517565392e+01
337, 7.678796052932740e-01, -1.679417705696196e-02, -1.193070843481384e+01, 7.691954218013144e+01, -7.783586430544865e+01
363, 7.495508193969730e-01, -1.951542803245712e-02, -1.046954870781943e+01, 6.746442809563524e+01, -6.827141618287061e+01
389, 7.313483357429500e-01, -2.231411092388132e-02, -9.804554213950244e+00, 6.177807851848324e+01, -6.255089972126130e+01
415, 7.132214307785030e-01, -2.515458241750070e-02, -8.569359521464952e+00, 5.247752009914895e+01, -5.317187813674726e+01
441, 6.951977014541630e-01, -2.802583476273940e-02, -9.125104857556924e+00, 5.568656924103620e+01, -5.642895178622324e+01
467, 6.773055195808410e-01, -3.091787122167724e-02, -8.278645180803061e+00, 5.162647942377235e+01, -5.228600061196727e+01
493, 6.594728827476500e-01, -3.379591666572203e-02, -7.906475526496942e+00, 4.384959561389727e+01, -4.454969114833045e+01
519, 6.418011188507080e-01, -3.667147616862394e-02, -6.792151517951646e+00, 4.250317401466459e+01, -4.304222139242032e+01
545, 6.243042349815370e-01, -3.953544053988261e-02, -4.686913442810251e+00, 3.072430345471472e+01, -3.107922563496902e+01
571, 6.065399646759030e-01, -4.225740497672213e-02, -6.634357719780205e+00, 3.695069893668460e+01, -3.752742545656072e+01
597, 5.888153314590450e-01, -4.490668172685115e-02, -6.307170148565544e+00, 4.446577035823546e+01, -4.490959457985480e+01
623, 5.713157057762150e-01, -4.752350652597705e-02, -4.730904490806190e+00, 3.539219988112202e+01, -3.570413951735139e+01
649, 5.538190603256230e-01, -5.003570206596038e-02, -6.618023319793817e+00, 4.017299148087357e+01, -4.070292781634945e+01
675, 5.363336801528930e-01, -5.243423294567882e-02, -4.017243149130045e+00, 3.139355095991272e+01, -3.164914902111043e+01
701, 5.188096761703490e-01, -5.469227222488741e-02, -9.094036892815736e-01, 6.312380736658934e+00, -6.376325067943769e+00
727, 5.012295246124270e-01, -5.679066280738912e-02, -4.870801062529193e+00, 3.560625062126950e+01, -3.592882995825995e+01
753, 4.835794866085050e-01, -5.870938982897716e-02, -1.908212077085263e+00, 2.032317252641386e+01, -2.041172933377748e+01
779, 4.658685922622680e-01, -6.043296911495571e-02, -2.046041269289228e+00, 2.309932183606196e+01, -2.318970911208059e+01
