"PointID","x","y"
25, 9.853970408439640e-01, 8.025572712254591e-04
51, 9.695732593536380e-01, 8.138959758616293e-04
77, 9.526804089546200e-01, 4.777561346721410e-04
103, 9.349957108497620e-01, 1.396659024851393e-05
129, 9.168222546577450e-01, -7.699892693558259e-04
155, 8.983380794525150e-01, -1.901831674943028e-03
181, 8.797067403793331e-01, -3.382852647863786e-03
207, 8.610174655914310e-01, -5.152639627562003e-03
233, 8.422674536705020e-01, -7.135519991493229e-03
259, 8.235722184181210e-01, -9.327130522917721e-03
285, 8.049457669258120e-01, -1.169015417132798e-02
311, 7.863141298294070e-01, -1.416680294140005e-02
337, 7.678796052932740e-01, -1.679417705696196e-02
363, 7.495508193969730e-01, -1.951542803245712e-02
389, 7.313483357429500e-01, -2.231411092388132e-02
415, 7.132214307785030e-01, -2.515458241750070e-02
441, 6.951977014541630e-01, -2.802583476273940e-02
467, 6.773055195808410e-01, -3.091787122167724e-02
493, 6.594728827476500e-01, -3.379591666572203e-02
519, 6.418011188507080e-01, -3.667147616862394e-02
545, 6.243042349815370e-01, -3.953544053988261e-02
571, 6.065399646759030e-01, -4.225740497672213e-02
597, 5.888153314590450e-01, -4.490668172685115e-02
623, 5.713157057762150e-01, -4.752350652597705e-02
649, 5.538190603256230e-01, -5.003570206596038e-02
675, 5.363336801528930e-01, -5.243423294567882e-02
701, 5.188096761703490e-01, -5.469227222488741e-02
727, 5.012295246124270e-01, -5.679066280738912e-02
753, 4.835794866085050e-01, -5.870938982897716e-02
779, 4.658685922622680e-01, -6.043296911495571e-02
805, 4.480717480182650e-01, -6.192926755612326e-02
831, 4.301885962486270e-01, -6.316446923071113e-02
857, 4.122794568538670e-01, -6.412870330793279e-02
883, 3.944020271301270e-01, -6.480376962985848e-02
909, 3.766198158264160e-01, -6.515167902448665e-02
935, 3.590588271617890e-01, -6.520314573115185e-02
961, 3.418258726596830e-01, -6.496169214270740e-02
987, 3.249974250793460e-01, -6.449983432643318e-02
1013, 3.086399734020230e-01, -6.382291180513797e-02
1039, 2.927811741828920e-01, -6.297734572371001e-02
1065, 2.774220108985900e-01, -6.200416226134410e-02
1091, 2.625653147697450e-01, -6.092814602811947e-02
1117, 2.482267022132870e-01, -5.975601082000362e-02
1143, 2.344165146350860e-01, -5.849702532871569e-02
1169, 2.210974693298340e-01, -5.718351471520409e-02
1195, 2.082438766956330e-01, -5.583453133236301e-02
1221, 1.958884000778200e-01, -5.443890744899536e-02
1247, 1.840233504772190e-01, -5.300586065381049e-02
1273, 1.725961565971370e-01, -5.155864058741055e-02
1299, 1.616173982620240e-01, -5.009491151287113e-02
1325, 1.511152982711790e-01, -4.860674035917681e-02
1351, 1.410477757453920e-01, -4.710932820963108e-02
1377, 1.314679384231570e-01, -4.558829903130673e-02
1403, 1.222792565822600e-01, -4.407145678342146e-02
1429, 1.134960949420930e-01, -4.255390858620720e-02
1455, 1.051684617996220e-01, -4.102409225780759e-02
1481, 9.719923138618471e-02, -3.950388176258633e-02
1507, 8.964005112648010e-02, -3.798099338811293e-02
1533, 8.247101306915280e-02, -3.645941716015235e-02
1559, 7.564741373062130e-02, -3.494626223642189e-02
1585, 6.917616724967959e-02, -3.343907939945494e-02
1611, 6.298619508743290e-02, -3.194792397009584e-02
1637, 5.711802840232850e-02, -3.046453871545940e-02
1663, 5.161416530609130e-02, -2.898113860522902e-02
1689, 4.642483592033390e-02, -2.750421046617338e-02
1715, 4.156750440597530e-02, -2.602988136505166e-02
1741, 3.698146343231200e-02, -2.456452137639797e-02
1767, 3.265759348869320e-02, -2.310722521757000e-02
1793, 2.861636877059940e-02, -2.165468180692317e-02
1819, 2.490270137786870e-02, -2.020128520195207e-02
1845, 2.143678069114690e-02, -1.875355662937840e-02
1871, 1.820489764213560e-02, -1.731120766827714e-02
1897, 1.524919271469120e-02, -1.586996611003506e-02
1923, 1.256430149078370e-02, -1.442941149538678e-02
1949, 1.017087697982790e-02, -1.298793047306469e-02
1975, 8.062899112701419e-03, -1.154538591231508e-02
2001, 6.177186965942380e-03, -1.010463033449789e-02
2027, 4.468053579330440e-03, -8.667062188687352e-03
2053, 3.018766641616820e-03, -7.228628425684390e-03
2079, 1.912891864776610e-03, -5.786322983720229e-03
2105, 1.121968030929570e-03, -4.340660097824656e-03
2131, 5.391836166381840e-04, -2.894838170424241e-03
2157, 1.753866672515870e-04, -1.447642844355831e-03
2183, 0.000000000000000e+00, 0.000000000000000e+00
2209, 1.051127910614010e-04, 1.206324179727922e-03
2235, 3.451704978942870e-04, 2.415452465031909e-03
2261, 7.326900959014890e-04, 3.624205087543943e-03
2287, 1.276999711990360e-03, 4.828423674678994e-03
2313, 1.973092555999760e-03, 6.024209421779175e-03
2339, 2.858132123947140e-03, 7.209237249258246e-03
2365, 3.939032554626460e-03, 8.380059094352870e-03
2391, 5.185037851333620e-03, 9.534958470443049e-03
2417, 6.539613008499150e-03, 1.067629673580397e-02
2443, 7.984459400177000e-03, 1.180612878460473e-02
2469, 9.577721357345579e-03, 1.292146661454959e-02
2495, 1.134461164474490e-02, 1.402013911578183e-02
2521, 1.328635215759280e-02, 1.510122489614615e-02
2547, 1.542121171951290e-02, 1.616218358669739e-02
2573, 1.774638891220090e-02, 1.720286578663416e-02
2599, 2.023851871490480e-02, 1.822577169178611e-02
2625, 2.291005849838260e-02, 1.922945628494080e-02
2651, 2.576607465744020e-02, 2.021346225252279e-02
2677, 2.879580855369570e-02, 2.117967669649759e-02
2703, 3.199326992034910e-02, 2.212969923514713e-02
2729, 3.537228703498840e-02, 2.306195326587049e-02
2755, 3.891497850418090e-02, 2.398051384209137e-02
2781, 4.259017109870910e-02, 2.489226134947045e-02
2807, 4.645630717277530e-02, 2.578762264212565e-02
2833, 5.049252510070800e-02, 2.667194261695705e-02
2859, 5.469727516174320e-02, 2.754675524553810e-02
2885, 5.909299850463870e-02, 2.840902873670776e-02
2911, 6.365954875946039e-02, 2.926444153037342e-02
2937, 6.838649511337280e-02, 3.011722840399416e-02
2963, 7.332068681716920e-02, 3.095840200048689e-02
2989, 7.843562960624691e-02, 3.179614955802789e-02
3015, 8.375442028045650e-02, 3.262637778130356e-02
3041, 8.928063511848450e-02, 3.345057902584156e-02
3067, 9.501701593399051e-02, 3.426950234157251e-02
3093, 1.010102331638340e-01, 3.507327318270594e-02
3119, 1.072062253952030e-01, 3.587785740774711e-02
3145, 1.136637628078460e-01, 3.666932804464215e-02
3171, 1.203565001487730e-01, 3.745705153167893e-02
3197, 1.272729039192200e-01, 3.824668576295066e-02
3223, 1.344466507434840e-01, 3.903054055807595e-02
3249, 1.419069468975070e-01, 3.980147056615710e-02
3275, 1.496536135673520e-01, 4.056135255626778e-02
3301, 1.576814949512480e-01, 4.131356888816565e-02
3327, 1.660248339176180e-01, 4.204824442180868e-02
3353, 1.746245622634890e-01, 4.278814750077487e-02
3379, 1.835020482540130e-01, 4.352838771176463e-02
3405, 1.926559209823610e-01, 4.427118842708758e-02
3431, 2.020680904388430e-01, 4.502682269750348e-02
3457, 2.117756903171540e-01, 4.578178621698153e-02
3483, 2.217475175857540e-01, 4.655224875787785e-02
3509, 2.320270836353300e-01, 4.732053538194991e-02
3535, 2.426079511642460e-01, 4.809117501322536e-02
3561, 2.535301446914670e-01, 4.884494855817006e-02
3587, 2.647941112518310e-01, 4.957964825475597e-02
3613, 2.764054536819460e-01, 5.028929004981487e-02
3639, 2.883291840553280e-01, 5.099161357200037e-02
3665, 3.005529642105100e-01, 5.169300919334832e-02
3691, 3.130726814270020e-01, 5.239382781782428e-02
3717, 3.258830904960630e-01, 5.309484806601918e-02
3743, 3.389919400215150e-01, 5.378467677312197e-02
3769, 3.523894548416140e-01, 5.446475738425501e-02
3795, 3.660713136196140e-01, 5.512990455290394e-02
3821, 3.800389170646670e-01, 5.576374291001242e-02
3847, 3.942807912826540e-01, 5.635941374664002e-02
3873, 4.087766110897060e-01, 5.692865416177390e-02
3899, 4.235162138938900e-01, 5.745907891894251e-02
3925, 4.384851455688480e-01, 5.795014667331787e-02
3951, 4.536674916744230e-01, 5.838535480381057e-02
3977, 4.690417945384980e-01, 5.873737759636457e-02
4003, 4.845884144306180e-01, 5.901781465434015e-02
4029, 5.002762079238890e-01, 5.920143918140468e-02
4055, 5.160748958587650e-01, 5.927612645571264e-02
4081, 5.319590568542480e-01, 5.923980841563179e-02
4107, 5.478921532630920e-01, 5.907687626743925e-02
4133, 5.638301968574519e-01, 5.877085492502759e-02
4159, 5.797371864318850e-01, 5.831353426718836e-02
4185, 5.956164002418520e-01, 5.772319322370918e-02
4211, 6.114472150802610e-01, 5.699723366559219e-02
4237, 6.271871328353880e-01, 5.612347333172345e-02
4263, 6.428214907646180e-01, 5.510432575637488e-02
4289, 6.584149599075320e-01, 5.397628990334719e-02
4315, 6.737585067749020e-01, 5.266158242077823e-02
4341, 6.888993382453920e-01, 5.118971104950663e-02
4367, 7.042160034179690e-01, 4.970886090636134e-02
4393, 7.193410396575930e-01, 4.809199030909973e-02
4419, 7.341139912605290e-01, 4.629330620828830e-02
4445, 7.489700317382810e-01, 4.446858268885098e-02
4471, 7.636658549308780e-01, 4.254854511852845e-02
4497, 7.780403494834900e-01, 4.049833389571138e-02
4523, 7.922744154930110e-01, 3.838558929279570e-02
4549, 8.063289523124690e-01, 3.621255565826605e-02
4575, 8.201366662979130e-01, 3.397698531772739e-02
4601, 8.336892127990720e-01, 3.169382705036824e-02
4627, 8.470668792724610e-01, 2.939857101431141e-02
4653, 8.601957559585570e-01, 2.709014354845527e-02
4679, 8.730279207229610e-01, 2.477447111775923e-02
4705, 8.855857253074650e-01, 2.247283539310070e-02
4731, 8.978731632232670e-01, 2.020091282629054e-02
4757, 9.098071455955510e-01, 1.795482213006547e-02
4783, 9.214465022087100e-01, 1.575897511879767e-02
4809, 9.327191114425660e-01, 1.360893145066372e-02
4835, 9.435870051383970e-01, 1.150601943107416e-02
4861, 9.540644884109500e-01, 9.461527350329704e-03
4887, 9.641631841659550e-01, 7.484491135563232e-03
4913, 9.738758206367490e-01, 5.577490546910485e-03
4939, 9.830872416496280e-01, 3.719011607742077e-03
4965, 9.918504953384401e-01, 1.923369479052057e-03
4991, 1.000000000000000e+00, 1.699999993434180e-04
