"PointID","x","y","Density","Momentum_x","Momentum_y","Energy","Nu_Tilde","Pressure","Temperature","Mach","Pressure_Coefficient","Velocity_x","Velocity_y","Laminar_Viscosity","Skin_Friction_Coefficient_x","Skin_Friction_Coefficient_y","Heat_Flux","Y_Plus","Eddy_Viscosity"
25, 9.853970408439640e-01, 8.025572712254591e-04, 4.684626402586688e-01, 0.000000000000000e+00, 0.000000000000000e+00, 1.074807821782117e+05, 0.000000000000000e+00, 4.299231287128469e+04, 3.197026183708332e+02, 0.000000000000000e+00, 2.673002908318767e-01, 0.000000000000000e+00, 0.000000000000000e+00, 1.937691644797411e-05, 2.268720959054857e-03, -4.801106744743033e-05, -2.941250754570734e+02, 2.366193195693377e+00, 0.000000000000000e+00
51, 9.695732593536380e-01, 8.138959758616293e-04, 4.700602800989536e-01, 0.000000000000000e+00, 0.000000000000000e+00, 1.078483330408921e+05, 0.000000000000000e+00, 4.313933321635684e+04, 3.197055815382954e+02, 0.000000000000000e+00, 2.766279124379625e-01, 0.000000000000000e+00, 0.000000000000000e+00, 1.937705234426672e-05, 1.792459409217495e-03, 1.779501188596240e-05, -1.197745713732449e+02, 2.107648899288647e+00, 0.000000000000000e+00
77, 9.526804089546200e-01, 4.777561346721410e-04, 4.723132694722260e-01, 0.000000000000000e+00, 0.000000000000000e+00, 1.083798960855647e+05, 0.000000000000000e+00, 4.335195843422586e+04, 3.197487974539650e+02, 0.000000000000000e+00, 2.901177976318819e-01, 0.000000000000000e+00, 0.000000000000000e+00, 1.937903423447581e-05, 1.594789167607735e-03, 3.689442352698595e-05, -7.670891647064329e+01, 1.993711992985774e+00, 0.000000000000000e+00
103, 9.349957108497620e-01, 1.396659024851393e-05, 4.738337242001427e-01, 0.000000000000000e+00, 0.000000000000000e+00, 1.087459673528011e+05, 0.000000000000000e+00, 4.349838694112041e+04, 3.197993155959873e+02, 0.000000000000000e+00, 2.994078704036893e-01, 0.000000000000000e+00, 0.000000000000000e+00, 1.938135083794121e-05, 1.467346153605423e-03, 5.105880252846254e-05, -5.822951659391529e+01, 1.915713085462305e+00, 0.000000000000000e+00
129, 9.168222546577450e-01, -7.699892693558259e-04, 4.743382306475403e-01, 0.000000000000000e+00, 0.000000000000000e+00, 1.088727423685852e+05, 0.000000000000000e+00, 4.354909694743407e+04, 3.198315993119791e+02, 0.000000000000000e+00, 3.026251377166169e-01, 0.000000000000000e+00, 0.000000000000000e+00, 1.938283117288441e-05, 1.370513038139402e-03, 7.162564521522933e-05, -4.619247186604038e+01, 1.853357078331491e+00, 0.000000000000000e+00
155, 8.983380794525150e-01, -1.901831674943028e-03, 4.738737405116570e-01, 0.000000000000000e+00, 0.000000000000000e+00, 1.087690991042811e+05, 0.000000000000000e+00, 4.350763964171244e+04, 3.198403300482152e+02, 0.000000000000000e+00, 2.999949026944548e-01, 0.000000000000000e+00, 0.000000000000000e+00, 1.938323149864913e-05, 1.306424431517261e-03, 9.196985735652302e-05, -3.940126130273376e+01, 1.810037448249824e+00, 0.000000000000000e+00
181, 8.797067403793331e-01, -3.382852647863786e-03, 4.724233686792758e-01, 0.000000000000000e+00, 0.000000000000000e+00, 1.084321637014627e+05, 0.000000000000000e+00, 4.337286548058507e+04, 3.198284464429374e+02, 0.000000000000000e+00, 2.914442332163172e-01, 0.000000000000000e+00, 0.000000000000000e+00, 1.938268660474088e-05, 1.276495911138966e-03, 1.111890354982395e-04, -3.687422645263779e+01, 1.787676671901795e+00, 0.000000000000000e+00
207, 8.610174655914310e-01, -5.152639627562003e-03, 4.705901028265780e-01, 0.000000000000000e+00, 0.000000000000000e+00, 1.080036120696730e+05, 0.000000000000000e+00, 4.320144482786919e+04, 3.198054258706909e+02, 0.000000000000000e+00, 2.805685480639163e-01, 0.000000000000000e+00, 0.000000000000000e+00, 1.938163102367213e-05, 1.267893487182085e-03, 1.270852866816600e-04, -3.705816929361373e+01, 1.779471326288079e+00, 0.000000000000000e+00
233, 8.422674536705020e-01, -7.135519991493229e-03, 4.683915706360049e-01, 0.000000000000000e+00, 0.000000000000000e+00, 1.074881561711449e+05, 0.000000000000000e+00, 4.299526246845794e+04, 3.197730645787786e+02, 0.000000000000000e+00, 2.674874263355309e-01, 0.000000000000000e+00, 0.000000000000000e+00, 1.938014707130132e-05, 1.271393400788242e-03, 1.417381530809830e-04, -3.807787590150534e+01, 1.779125355341470e+00, 0.000000000000000e+00
259, 8.235722184181210e-01, -9.327130522917721e-03, 4.656071262104843e-01, 0.000000000000000e+00, 0.000000000000000e+00, 1.068346855838718e+05, 0.000000000000000e+00, 4.273387423354873e+04, 3.197297103145805e+02, 0.000000000000000e+00, 2.509037994482506e-01, 0.000000000000000e+00, 0.000000000000000e+00, 1.937815891095579e-05, 1.288085391535364e-03, 1.571943355874050e-04, -3.990038230628393e+01, 1.786996326096768e+00, 0.000000000000000e+00
285, 8.049457669258120e-01, -1.169015417132798e-02, 4.628736532044659e-01, 0.000000000000000e+00, 0.000000000000000e+00, 1.061916773953862e+05, 0.000000000000000e+00, 4.247667095815445e+04, 3.196821270168323e+02, 0.000000000000000e+00, 2.345856849209968e-01, 0.000000000000000e+00, 0.000000000000000e+00, 1.937597665982964e-05, 1.310523662628878e-03, 1.702316319499717e-04, -4.248304306612592e+01, 1.797817612134455e+00, 0.000000000000000e+00
311, 7.863141298294070e-01, -1.416680294140005e-02, 4.598065675270008e-01, 0.000000000000000e+00, 0.000000000000000e+00, 1.054698445447522e+05, 0.000000000000000e+00, 4.218793781790088e+04, 3.196270102025280e+02, 0.000000000000000e+00, 2.162671761724254e-01, 0.000000000000000e+00, 0.000000000000000e+00, 1.937344870761619e-05, 1.336111003871422e-03, 1.839829332509229e-04, -4.479075276392349e+01, 1.811143606935817e+00, 0.000000000000000e+00
337, 7.678796052932740e-01, -1.679417705696196e-02, 4.561848363988624e-01, 0.000000000000000e+00, 0.000000000000000e+00, 1.046173800223483e+05, 0.000000000000000e+00, 4.184695200893933e+04, 3.195606758721904e+02, 0.000000000000000e+00, 1.946335267786800e-01, 0.000000000000000e+00, 0.000000000000000e+00, 1.937040597366289e-05, 1.374533550749209e-03, 1.999783085788397e-04, -4.822180482425642e+01, 1.830586127822871e+00, 0.000000000000000e+00
363, 7.495508193969730e-01, -1.951542803245712e-02, 4.523054261277007e-01, 0.000000000000000e+00, 0.000000000000000e+00, 1.037037932120592e+05, 0.000000000000000e+00, 4.148151728482365e+04, 3.194869922875869e+02, 0.000000000000000e+00, 1.714487299629570e-01, 0.000000000000000e+00, 0.000000000000000e+00, 1.936702576498175e-05, 1.424817782894717e-03, 2.152922696309568e-04, -5.376189373534545e+01, 1.856678654478731e+00, 0.000000000000000e+00
389, 7.313483357429500e-01, -2.231411092388132e-02, 4.481375886063091e-01, 0.000000000000000e+00, 0.000000000000000e+00, 1.027224426528955e+05, 0.000000000000000e+00, 4.108897706115819e+04, 3.194069058429438e+02, 0.000000000000000e+00, 1.465442402494904e-01, 0.000000000000000e+00, 0.000000000000000e+00, 1.936335138932437e-05, 1.483857951150433e-03, 2.303287886258990e-04, -6.075703001714438e+01, 1.886997156294832e+00, 0.000000000000000e+00
415, 7.132214307785030e-01, -2.515458241750070e-02, 4.438378224551907e-01, 0.000000000000000e+00, 0.000000000000000e+00, 1.017099500947497e+05, 0.000000000000000e+00, 4.068398003789986e+04, 3.193224620902922e+02, 0.000000000000000e+00, 1.208494360188863e-01, 0.000000000000000e+00, 0.000000000000000e+00, 1.935947660554405e-05, 1.547952744646308e-03, 2.445732631519696e-04, -6.884393326320949e+01, 1.917599062397984e+00, 0.000000000000000e+00
441, 6.951977014541630e-01, -2.802583476273940e-02, 4.391238455463908e-01, 0.000000000000000e+00, 0.000000000000000e+00, 1.006005247395417e+05, 0.000000000000000e+00, 4.024020989581668e+04, 3.192298998219996e+02, 0.000000000000000e+00, 9.269469346676264e-02, 0.000000000000000e+00, 0.000000000000000e+00, 1.935522871265983e-05, 1.618042048751189e-03, 2.596410146169888e-04, -7.803921935922688e+01, 1.951003568242506e+00, 0.000000000000000e+00
467, 6.773055195808410e-01, -3.091787122167724e-02, 4.343800342197074e-01, 0.000000000000000e+00, 0.000000000000000e+00, 9.948423908300052e+04, 0.000000000000000e+00, 3.979369563320019e+04, 3.191352406345650e+02, 0.000000000000000e+00, 6.436585175874575e-02, 0.000000000000000e+00, 0.000000000000000e+00, 1.935088395643313e-05, 1.690599359993586e-03, 2.730565787452000e-04, -8.887649665198100e+01, 1.982950315019498e+00, 0.000000000000000e+00
493, 6.594728827476500e-01, -3.379591666572203e-02, 4.292972308455679e-01, 0.000000000000000e+00, 0.000000000000000e+00, 9.828868824602460e+04, 0.000000000000000e+00, 3.931547529840983e+04, 3.190331328350771e+02, 0.000000000000000e+00, 3.402543645723738e-02, 0.000000000000000e+00, 0.000000000000000e+00, 1.934619660124705e-05, 1.766586811840574e-03, 2.862812048870968e-04, -1.012041249318320e+02, 2.014465979752166e+00, 0.000000000000000e+00
519, 6.418011188507080e-01, -3.667147616862394e-02, 4.227020597552444e-01, 0.000000000000000e+00, 0.000000000000000e+00, 9.673962452270184e+04, 0.000000000000000e+00, 3.869584980908073e+04, 3.189042961888278e+02, 0.000000000000000e+00, -5.286347902343567e-03, 0.000000000000000e+00, 0.000000000000000e+00, 1.934028117289131e-05, 1.873134529073307e-03, 3.056955849036023e-04, -1.194237623096345e+02, 2.059489087207699e+00, 0.000000000000000e+00
545, 6.243042349815370e-01, -3.953544053988261e-02, 4.167346616534656e-01, 0.000000000000000e+00, 0.000000000000000e+00, 9.533571614643892e+04, 0.000000000000000e+00, 3.813428645857556e+04, 3.187765350601546e+02, 0.000000000000000e+00, -4.091441311187133e-02, 0.000000000000000e+00, 0.000000000000000e+00, 1.933441395741193e-05, 1.990627236027993e-03, 3.153470804951371e-04, -1.432055626607355e+02, 2.106498841745288e+00, 0.000000000000000e+00
571, 6.065399646759030e-01, -4.225740497672213e-02, 4.120968310404129e-01, 0.000000000000000e+00, 0.000000000000000e+00, 9.423635096335046e+04, 0.000000000000000e+00, 3.769454038534017e+04, 3.186467715626823e+02, 0.000000000000000e+00, -6.881385092021523e-02, 0.000000000000000e+00, 0.000000000000000e+00, 1.932845359468489e-05, 2.090605385662722e-03, 3.164128682097234e-04, -1.593068031485660e+02, 2.144705080159917e+00, 0.000000000000000e+00
597, 5.888153314590450e-01, -4.490668172685115e-02, 4.062634548076738e-01, 0.000000000000000e+00, 0.000000000000000e+00, 9.285905557399966e+04, 0.000000000000000e+00, 3.714362222959986e+04, 3.184980968512517e+02, 0.000000000000000e+00, -1.037665378435548e-01, 0.000000000000000e+00, 0.000000000000000e+00, 1.932162311531973e-05, 2.181836694462441e-03, 3.261892217420565e-04, -1.699629835594414e+02, 2.174774053007788e+00, 0.000000000000000e+00
623, 5.713157057762150e-01, -4.752350652597705e-02, 3.995917717798488e-01, 0.000000000000000e+00, 0.000000000000000e+00, 9.128512006626767e+04, 0.000000000000000e+00, 3.651404802650706e+04, 3.183272305525251e+02, 0.000000000000000e+00, -1.437095126510256e-01, 0.000000000000000e+00, 0.000000000000000e+00, 1.931377115083963e-05, 2.298524620029762e-03, 3.368695905095189e-04, -1.887211874375747e+02, 2.213666963138713e+00, 0.000000000000000e+00
649, 5.538190603256230e-01, -5.003570206596038e-02, 3.926603572390212e-01, 0.000000000000000e+00, 0.000000000000000e+00, 8.965109432426626e+04, 0.000000000000000e+00, 3.586043772970649e+04, 3.181477633560517e+02, 0.000000000000000e+00, -1.851774436602005e-01, 0.000000000000000e+00, 0.000000000000000e+00, 1.930552169571439e-05, 2.434637873813822e-03, 3.417709614097739e-04, -2.160491576339399e+02, 2.256932905895884e+00, 0.000000000000000e+00
675, 5.363336801528930e-01, -5.243423294567882e-02, 3.853570258724965e-01, 0.000000000000000e+00, 0.000000000000000e+00, 8.793044145402385e+04, 0.000000000000000e+00, 3.517217658160953e+04, 3.179554757295521e+02, 0.000000000000000e+00, -2.288437780880515e-01, 0.000000000000000e+00, 0.000000000000000e+00, 1.929668037631322e-05, 2.584886746388557e-03, 3.438137167467314e-04, -2.487308296362853e+02, 2.302296819158959e+00, 0.000000000000000e+00
701, 5.188096761703490e-01, -5.469227222488741e-02, 3.779760232659906e-01, 0.000000000000000e+00, 0.000000000000000e+00, 8.619266316763853e+04, 0.000000000000000e+00, 3.447706526705540e+04, 3.177579206448148e+02, 0.000000000000000e+00, -2.729447174042240e-01, 0.000000000000000e+00, 0.000000000000000e+00, 1.928759410552533e-05, 2.740881909123766e-03, 3.401437696618001e-04, -2.865377347839230e+02, 2.347116237959322e+00, 0.000000000000000e+00
